Locus,Consensus.RSID,Consensus.ID,CredSet.RSID,Total.size,GWAS.nom.sig.size,GWAS.sig.size,CredSet.size,Consensus.size,GWAS.lead_Consensus,psychENCODE_eQTL.sig_Consensus,Fairfax_2014_CD14.sig_Consensus,Fairfax_2014_IFN.sig_Consensus,Fairfax_2014_LPS2.sig_Consensus,Fairfax_2014_LPS24.sig_Consensus,Cardiogenics_macrophages.sig_Consensus,Cardiogenics_monocytes.sig_Consensus,MESA_CAU.sig_Consensus,GWAS.lead_CredSet,psychENCODE_eQTL.sig_CredSet,Fairfax_2014_CD14.sig_CredSet,Fairfax_2014_IFN.sig_CredSet,Fairfax_2014_LPS2.sig_CredSet,Fairfax_2014_LPS24.sig_CredSet,Cardiogenics_macrophages.sig_CredSet,Cardiogenics_monocytes.sig_CredSet,MESA_CAU.sig_CredSet,ABF.PP,SUSIE.PP,POLYFUN_SUSIE.PP,FINEMAP.PP,mean.PP,QTL.count,Effect,psychENCODE_eQTL.Effect,Fairfax_2014_CD14.Effect,Fairfax_2014_IFN.Effect,Fairfax_2014_LPS2.Effect,Fairfax_2014_LPS24.Effect,Cardiogenics_macrophages.Effect,Cardiogenics_monocytes.Effect,MESA_CAU.Effect,MAF,mean.PP_avg,QTL.count_avg,Novel.Locus,GWAS.lead_Consensus.any,GWAS.lead_CredSet.any
FAM49B,rs298602,8:130932174,"rs10956503, rs11984804, rs1979477, rs2624813, rs298601, rs298602, rs367117, rs401526, rs476849, rs56193586, rs62525975, rs6470765, rs6985118, rs710617, rs72718376, rs837081, rs857233",1794,458,11,17,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.088,1,0,1,0.522,0,0.052,NA,0.039,0.118,0.074,-0.132,NA,NA,0,0.487,0.522031110373262,0,Y,FALSE,FALSE
FBRSL1,rs11147167,12:133055192,"rs11147167, rs11147230, rs11610045, rs11610623, rs28434489, rs28504225, rs28660663, rs28681221, rs28690949, rs28720086, rs35653050, rs36098511, rs4396355, rs4883585, rs61951158, rs7309368, rs7315900",2086,478,2,17,1,N,N,N,N,N,N,N,N,N,"N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0,1,0,1,0.5,0,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,0.367,0.500083823146083,0,Y,FALSE,TRUE
FGF20,rs622311,8:16697980,"rs10109953, rs112527341, rs1565739, rs4418385, rs474885, rs620513, rs622311, rs624031, rs7006980, rs73203637, rs73205684, rs73205689, rs73207652, rs9325801",2708,433,54,14,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, Y, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.085,1,0,1,0.521,0,0.085,NA,0.102,0.035,0.11,-0.032,NA,NA,NA,0.268,0.521147183454409,0,N,FALSE,TRUE
GBF1,rs12360253,10:104147498,"rs10883719, rs10883720, rs11191211, rs11191252, rs11191284, rs11597024, rs12260430, rs12360253, rs12572826, rs12771352, rs2282295, rs2296887, rs34673678, rs4917962, rs4919627, rs61873698, rs71471241, rs7913281, rs7915239, rs945781, rs9665587",1136,344,3,21,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, Y, N, N, N, N, N, N, N, N, N, Y, N, N, N, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.001,1,0,1,0.5,0,0.061,0.153,0.098,-0.005,-0.088,-0.108,NA,NA,NA,0.168,0.500234017246637,0,Y,FALSE,FALSE
GCH1,rs8018800,14:55453306,"rs10136545, rs10148100, rs10150110, rs1107960, rs112756433, rs117960693, rs143298333, rs17127992, rs17128120, rs2183085, rs2840268, rs28693954, rs66769866, rs7153937, rs7159933, rs72715573, rs78608731, rs8018800, rs8019220, rs8023187, rs9805952",1164,573,140,21,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.107,1,0,1,0.527,0,0.084,NA,-0.164,-0.332,-0.34,0.127,0.481,-0.299,-0.013,0.321,0.526796306562074,0,N,FALSE,FALSE
LINC00693,rs2371337,3:28708340,"rs11717248, rs12489500, rs13070954, rs1461808, rs1461809, rs1463534, rs2371337, rs62242492, rs6765744, rs6808178, rs73048800, rs7617877, rs7630267, rs7633162, rs9858600",1815,289,6,15,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.003,1,0,1,0.501,0,-0.06,-0.081,NA,NA,NA,NA,NA,NA,NA,0.357,0.500752224000156,0,Y,FALSE,TRUE
MAP4K4,rs111302417,2:102553479,"rs10865048, rs111302417, rs112161923, rs11683001, rs12465765, rs12469922, rs12712115, rs13430711, rs2158816, rs2310144, rs34043159, rs34451091, rs4343484, rs4384813, rs62153716, rs62155713, rs6543087, rs6543089, rs6543091, rs6543097, rs6732726, rs7605555",1726,362,67,22,1,N,N,N,N,N,N,N,N,N,"N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, Y, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0,0,1,1,0.5,0,-0.052,NA,0.109,-0.228,-0.127,-0.189,NA,NA,NA,0.17,0.500000000695255,0,N,FALSE,TRUE
RIT2,rs4588066,18:40672964,"rs12456492, rs17643871, rs1945001, rs4270258, rs4588066, rs57485356, rs62090496, rs62090500, rs62090522, rs62092065, rs73951787, rs7506712, rs8085083, rs9945309, rs9958208",1722,857,220,15,1,N,N,N,N,N,N,N,N,N,"Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.149,1,0,1,0.537,0,0.097,NA,-0.027,0.13,0.021,-0.123,NA,NA,NA,0.322,0.537192524698228,0,N,FALSE,TRUE
RPS12,rs118130928,6:133212446,"rs117086687, rs117492816, rs117701920, rs118038135, rs118130928, rs12197827, rs186372130, rs75859381, rs79333841, rs79810368, rs885488, rs9375928, rs9493478",1000,63,8,13,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, Y, N, N, N, N, N","N, N, N, N, N, N, N, N, N, Y, N, N, Y","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N",0.006,1,0,1,0.501,0,0.235,-0.382,0.069,-0.278,0.08,-0.322,NA,NA,NA,0.031,0.501424396147515,0,Y,FALSE,TRUE
SCAF11,rs11183291,12:46422545,"rs10880859, rs11183241, rs11183291, rs11183293, rs11183312, rs1596623, rs4450223, rs6582568, rs6582569, rs6582585, rs6582588, rs7134559, rs7975871, rs975502",1387,484,1,14,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.065,1,0,1,0.516,0,0.054,NA,NA,NA,NA,NA,NA,NA,NA,0.379,0.51630139511586,0,Y,FALSE,TRUE
SETD1A,rs7200879,16:30947572,"rs11150596, rs11150599, rs11150601, rs113448632, rs11640210, rs11865499, rs12102367, rs12445568, rs12716978, rs13708, rs1458201, rs62055866, rs7200879, rs72799341, rs7294",847,509,217,15,1,N,N,N,N,N,N,N,N,N,"N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, Y, N, N, N, N, Y, Y, N, Y, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0,0,1,1,0.5,0,0.082,NA,-0.042,0.131,0.216,0.185,0.335,0.331,0.028,0.231,0.500000003294858,0,N,FALSE,TRUE
VPS13C,rs2248032,15:61995237,"rs11855329, rs2248032, rs2248041, rs62007229, rs62007230, rs7180530, rs73416756, rs73416793, rs75642179, rs75839439, rs76112659, rs77437923, rs77440044",1798,190,47,13,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N",0.082,1,0,1,0.521,0,0.116,NA,-0.057,0.134,-0.281,0.141,NA,NA,NA,0.142,0.520545103904649,0,N,FALSE,FALSE
WNT3,rs142167,17:44795234,"rs117300236, rs142167, rs1563304, rs199449, rs199452, rs199453, rs199454, rs199460, rs199461, rs199469, rs199497, rs199498, rs199502, rs35732828, rs3892426, rs3901590, rs6504640, rs8064863, rs8068375, rs8074704, rs8074861, rs8078196, rs8078665, rs9904865",1004,459,33,24,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, N, N, N, N, N, N, N, N, N, N, Y, Y, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.033,1,0,1,0.508,0,0.203,NA,-0.066,-0.122,0.14,-0.097,-0.354,-0.364,0.054,0.232,0.508237544742189,0,N,FALSE,FALSE
