CHR POS RSID ZSCORE.P1 Posterior_Prob
chr12 40697434 rs10784498 0.280827390335697 0.00000e+00
chr12 40698490 rs10784499 0.289297436039795 0.00000e+00
chr12 40703865 rs10784501 -0.395717510279142 0.00000e+00
chr12 40705700 rs10784503 -0.397835021705166 0.00000e+00
chr12 40707396 rs10784504 -0.396776265992154 0.00000e+00
chr12 40711070 rs10784506 0.370821625941739 0.00000e+00
chr12 40713200 rs10784509 0.362351580237641 0.00000e+00
chr12 40737115 rs10784518 -0.333250923211418 0.00000e+00
chr12 40740365 rs10784522 0.226830848972071 0.00000e+00
chr12 40751979 rs10784528 -0.120441024895953 0.00000e+00
chr12 40752603 rs10784532 0.585749035683229 0.00000e+00
chr12 40754412 rs10784536 0.311531306013052 0.00000e+00
chr12 40762546 rs10784548 -0.0780907963754619 0.00000e+00
chr12 40608880 rs10878220 0.00978592780455623 0.00000e+00
chr12 40610718 rs10878222 0.0108446835175685 0.00000e+00
chr12 40614601 rs10878224 0.0013158821004581 0.00000e+00
chr12 40617692 rs10878226 1.32899554621784 0.00000e+00
chr12 40631608 rs10878244 1.03254394657441 0.00000e+00
chr12 40631791 rs10878245 -0.553472111517969 0.00000e+00
chr12 40632099 rs10878246 -1.02461840380843 0.00000e+00
chr12 40632100 rs10878247 -0.875333848273699 0.00000e+00
chr12 40633314 rs10878249 0.140012880505065 0.00000e+00
chr12 40641692 rs10878258 0.588925302822266 0.00000e+00
chr12 40644279 rs10878262 0.119896521957832 0.00000e+00
chr12 40653988 rs10878278 -0.387247464575044 0.00000e+00
chr12 40658205 rs10878284 -0.40418755598324 0.00000e+00
chr12 40666875 rs10878299 1.00184003089705 0.00000e+00
chr12 40669826 rs10878302 -0.839336154031282 0.00000e+00
chr12 40671989 rs10878307 0.106132697688673 0.00000e+00
chr12 40693225 rs10878336 0.956313535237522 0.00000e+00
chr12 40695095 rs10878340 -0.533355752970737 0.00000e+00
chr12 40697477 rs10878341 0.289297436039795 0.00000e+00
chr12 40700584 rs10878343 -0.185025123389701 0.00000e+00
chr12 40709957 rs10878356 -0.173378810546566 0.00000e+00
chr12 40711091 rs10878358 0.370821625941739 0.00000e+00
chr12 40714785 rs10878368 -0.396776265992154 0.00000e+00
chr12 40716260 rs10878371 -0.39465875456613 0.00000e+00
chr12 40716694 rs10878372 0.138954124792053 0.00000e+00
chr12 40720004 rs10878377 -0.190318901954762 0.00000e+00
chr12 40725928 rs10878386 1.00289878661006 0.00000e+00
chr12 40742254 rs10878405 0.227889604685083 0.00000e+00
chr12 40758291 rs10878434 -0.0336230564289467 0.00000e+00
chr12 40761931 rs10878441 -0.0675032392453392 0.00000e+00
chr12 40684454 rs111585307 0.621746729925646 0.00000e+00
chr12 40601940 rs11175593 1.95789643974713 0.00000e+00
chr12 40610864 rs11175620 1.36816950759929 0.00000e+00
chr12 40621892 rs11175645 -1.35283267484223 0.00000e+00
chr12 40623727 rs11175655 1.30676167624458 0.00000e+00
chr12 40623755 rs11175656 0.0076684163785317 0.00000e+00
chr12 40624310 rs11175658 -1.3411863619991 0.00000e+00
chr12 40628433 rs11175666 1.31417296623567 0.00000e+00
chr12 40644367 rs11175729 -0.422186403104449 0.00000e+00
chr12 40655016 rs11175766 0.63762806562083 0.00000e+00
chr12 40656179 rs11175769 -0.612762431446656 0.00000e+00
chr12 40658255 rs11175775 -0.0209179878727995 0.00000e+00
chr12 40659096 rs11175780 -0.682640308505466 0.00000e+00
chr12 40659534 rs11175784 0.594219081387327 0.00000e+00
chr12 40662039 rs11175793 -1.02567715952144 0.00000e+00
chr12 40665454 rs11175814 0.246947207519304 0.00000e+00
chr12 40670676 rs11175836 0.0203734849346789 0.00000e+00
chr12 40674039 rs11175843 -0.420068891678424 0.00000e+00
chr12 40675052 rs11175845 -0.622291232863767 0.00000e+00
chr12 40676200 rs11175847 0.597395348526364 0.00000e+00
chr12 40677008 rs11175852 -0.981209419574925 0.00000e+00
chr12 40679269 rs11175862 0.028843530638777 0.00000e+00
chr12 40684880 rs11175902 1.00713380946211 0.00000e+00
chr12 40686731 rs11175911 -0.629702522854853 0.00000e+00
chr12 40687035 rs11175913 -1.00026702240915 0.00000e+00
chr12 40689588 rs11175922 0.599512859952389 0.00000e+00
chr12 40693801 rs11175934 0.36658660308969 0.00000e+00
chr12 40693806 rs11175935 -0.395717510279142 0.00000e+00
chr12 40694399 rs11175941 -1.00767831240023 0.00000e+00
chr12 40695776 rs11175943 -0.149027429147284 0.00000e+00
chr12 40701388 rs11175958 -0.177613833398615 0.00000e+00
chr12 40702771 rs11175963 -1.05320480805976 0.00000e+00
chr12 40702987 rs11175964 -1.05214605234675 0.00000e+00
chr12 40703152 rs11175966 -0.17549632197259 0.00000e+00
chr12 40707278 rs11175985 -0.325839633220332 0.00000e+00
chr12 40713873 rs11176013 -0.390423731714081 0.00000e+00
chr12 40716474 rs11176022 1.01031007660115 0.00000e+00
chr12 40718453 rs11176030 0.135777857653016 0.00000e+00
chr12 40723900 rs11176052 0.624922997064683 0.00000e+00
chr12 40724030 rs11176053 0.624922997064683 0.00000e+00
chr12 40737471 rs11176118 -0.429597693095534 0.00000e+00
chr12 40742363 rs11176143 -0.333250923211418 0.00000e+00
chr12 40745838 rs11176153 0.396231763054033 0.00000e+00
chr12 40745902 rs11176154 -0.618056210011718 0.00000e+00
chr12 40756207 rs11176195 0.96901860379367 0.00000e+00
chr12 40750966 rs112259589 -1.00556080097421 0.00000e+00
chr12 40751634 rs112677925 0.841967918232198 0.00000e+00
chr12 40693824 rs113275382 -0.746165651286202 0.00000e+00
chr12 40701831 rs113772607 -0.633937545706902 0.00000e+00
chr12 40609750 rs11564107 -1.92032573701681 0.00000e+00
chr12 40657868 rs11564113 -0.714402979895834 0.00000e+00
chr12 40630639 rs11564115 -0.465595387337952 0.00000e+00
chr12 40705835 rs11564128 1.03783772513947 0.00000e+00
chr12 40669939 rs11564129 0.613276684221548 0.00000e+00
chr12 40754308 rs11564146 -2.28665521371905 0.00000e+00
chr12 40739493 rs11564147 0.97854740521078 0.00000e+00
chr12 40713901 rs11564148 -0.172320054833554 0.00000e+00
chr12 40702164 rs11564149 -0.634996301419914 0.00000e+00
chr12 40680917 rs11564150 0.63762806562083 0.00000e+00
chr12 40654873 rs11564152 -2.0060849497708 0.00000e+00
chr12 40634991 rs11564153 1.8869598069753 0.00000e+00
chr12 40750471 rs11564173 0.941490955255351 0.00000e+00
chr12 40721042 rs11564175 1.05160154940863 0.00000e+00
chr12 40714332 rs11564177 -1.09343752515423 0.00000e+00
chr12 40701271 rs11564180 -0.646642614263049 0.00000e+00
chr12 40673539 rs11564181 0.750914926913143 0.00000e+00
chr12 40672514 rs11564182 -1.00238453383517 0.00000e+00
chr12 40655707 rs11564183 -0.921919099646238 0.00000e+00
chr12 40650717 rs11564185 1.60638954302705 0.00000e+00
chr12 40634203 rs11564187 -1.92667827129488 0.00000e+00
chr12 40724581 rs11564203 1.04842528226959 0.00000e+00
chr12 40715377 rs11564204 1.06113035082574 0.00000e+00
chr12 40714009 rs11564205 -1.09343752515423 0.00000e+00
chr12 40664643 rs11564207 1.10030431220719 0.00000e+00
chr12 40650875 rs11564209 -1.99337988121465 0.00000e+00
chr12 40634819 rs11564210 1.88801856268832 0.00000e+00
chr12 40591612 rs11564212 1.9811890654334 0.00000e+00
chr12 40750195 rs11564266 -2.28030267944098 0.00000e+00
chr12 40722724 rs11564267 1.05901283939971 0.00000e+00
chr12 40698422 rs11564269 0.975371138071743 0.00000e+00
chr12 40681486 rs11564270 0.582572768544192 0.00000e+00
chr12 40673524 rs11564271 -2.06008149113442 0.00000e+00
chr12 40598152 rs11564273 -1.51058727608106 0.00000e+00
chr12 40590620 rs11564274 1.19770983780432 0.00000e+00
chr12 40609581 rs11613206 -1.27660226350535 0.00000e+00
chr12 40615376 rs116859512 -0.183966367676689 0.00000e+00
chr12 40679388 rs116911375 0.242712184667255 0.00000e+00
chr12 40679411 rs117165831 -0.729225559878006 0.00000e+00
chr12 40645737 rs117203131 2.00130542398063 0.00000e+00
chr12 40591385 rs117256087 -0.70805044561776 0.00000e+00
chr12 40629747 rs117297508 1.96213146259918 0.00000e+00
chr12 40611670 rs117408408 -2.11513678821106 0.00000e+00
chr12 40644555 rs117502843 1.98542408828545 0.00000e+00
chr12 40614062 rs117528165 2.02142178252786 0.00000e+00
chr12 40627456 rs117544909 -2.05902273542141 0.00000e+00
chr12 40706597 rs117627419 0.995487496618976 0.00000e+00
chr12 40597612 rs117762348 -1.51482229893311 0.00000e+00
chr12 40753796 rs117891010 -2.46240866207909 0.00000e+00
chr12 40701959 rs117997005 -0.729225559878006 0.00000e+00
chr12 40603676 rs118075840 -0.295135717542977 0.00000e+00
chr12 40653993 rs118076169 0.676802027002284 0.00000e+00
chr12 40682722 rs118140854 0.746679904061094 0.00000e+00
chr12 40727779 rs11829088 -1.08390872373712 0.00000e+00
chr12 40727598 rs11834950 1.05266030512164 0.00000e+00
chr12 40758045 rs11835105 -0.214670283354044 0.00000e+00
chr12 40753774 rs11836288 -1.00344328954818 0.00000e+00
chr12 40663918 rs12146857 -0.0632682163932902 0.00000e+00
chr12 40622790 rs12230685 -0.433832715947584 0.00000e+00
chr12 40733564 rs12306060 0.321060107430163 0.00000e+00
chr12 40741617 rs12311273 -0.269725580430682 0.00000e+00
chr12 40688921 rs12314692 0.963724825228608 0.00000e+00
chr12 40726647 rs12367542 0.137895369079041 0.00000e+00
chr12 40747462 rs12368229 -0.435950227373608 0.00000e+00
chr12 40686845 rs12369882 -0.628643767141841 0.00000e+00
chr12 40723171 rs12370996 -0.206200237649946 0.00000e+00
chr12 40644305 rs12371502 -0.553472111517969 0.00000e+00
chr12 40763013 rs12422278 2.32528467216238 0.00000e+00
chr12 40646534 rs12422796 1.93883883691291 0.00000e+00
chr12 40759848 rs12426362 0.0701350034462554 0.00000e+00
chr12 40761315 rs12426498 0.977488649497768 0.00000e+00
chr12 40745777 rs12426639 -2.19877848953903 0.00000e+00
chr12 40661281 rs12426891 0.816557781119903 0.00000e+00
chr12 40707113 rs12427245 1.89013607411434 0.00000e+00
chr12 40688081 rs12820920 -0.63287878999389 0.00000e+00
chr12 40609979 rs12827541 0.0076684163785317 0.00000e+00
chr12 40626378 rs1352877 0.208832001850862 0.00000e+00
chr12 40734583 rs1365763 0.29670872603088 0.00000e+00
chr12 40737002 rs1365764 -0.333250923211418 0.00000e+00
chr12 40741821 rs1365765 0.291414947465819 0.00000e+00
chr12 40742073 rs1365766 -0.331133411785394 0.00000e+00
chr12 40755215 rs1365768 2.27658190936382 0.00000e+00
chr12 40755289 rs1365769 -2.30888908369231 0.00000e+00
chr12 40762303 rs1365770 0.0468423777599856 0.00000e+00
chr12 40597279 rs138053637 -2.01984877403996 0.00000e+00
chr12 40683344 rs138250350 -1.00873706811324 0.00000e+00
chr12 40607566 rs1388593 0.505283601494297 0.00000e+00
chr12 40607647 rs1388594 0.209890757563875 0.00000e+00
chr12 40640626 rs1388596 -0.144792406295235 0.00000e+00
chr12 40618097 rs1388597 -2.12148932248914 0.00000e+00
chr12 40616166 rs1388598 -1.28613106492246 0.00000e+00
chr12 40640160 rs1388599 0.679978294141321 0.00000e+00
chr12 40621958 rs139485922 -0.809690994066938 0.00000e+00
chr12 40618714 rs139549144 -1.99337988121465 0.00000e+00
chr12 40597536 rs140053619 -1.58470017599192 0.00000e+00
chr12 40593012 rs140745175 -1.01191333525228 0.00000e+00
chr12 40725258 rs140812745 -2.25806880946772 0.00000e+00
chr12 40670594 rs141409298 -2.00820246119682 0.00000e+00
chr12 40617759 rs141560291 0.791147644007609 0.00000e+00
chr12 40653696 rs141979335 1.01560385516621 0.00000e+00
chr12 40648250 rs142152465 0.544457562875751 0.00000e+00
chr12 40713834 rs1427263 0.144247903357114 0.00000e+00
chr12 40712193 rs1427264 0.353881534533543 0.00000e+00
chr12 40711998 rs1427265 0.362351580237641 0.00000e+00
chr12 40708922 rs1427266 0.367645358802702 0.00000e+00
chr12 40708892 rs1427267 -0.174437566259578 0.00000e+00
chr12 40732394 rs1427271 0.302002504595942 0.00000e+00
chr12 40732480 rs1427272 -0.333250923211418 0.00000e+00
chr12 40732730 rs1427273 0.299884993169917 0.00000e+00
chr12 40749179 rs143541544 0.727622301226873 0.00000e+00
chr12 40662691 rs144202154 -2.14372319246239 0.00000e+00
chr12 40644433 rs144326430 -0.178672589111627 0.00000e+00
chr12 40660880 rs144463374 -0.904979008238042 0.00000e+00
chr12 40605202 rs144547328 1.22311997491661 0.00000e+00
chr12 40647645 rs1463717 1.8869598069753 0.00000e+00
chr12 40658053 rs146794882 0.137895369079041 0.00000e+00
chr12 40700956 rs146906071 1.94625012690399 0.00000e+00
chr12 40678088 rs147015277 -2.04525891115225 0.00000e+00
chr12 40617621 rs1472115 -0.0463281249850939 0.00000e+00
chr12 40616217 rs1472117 0.0309610420648016 0.00000e+00
chr12 40650105 rs147831725 1.947308882617 0.00000e+00
chr12 40590585 rs147922178 0.765737506895315 0.00000e+00
chr12 40625798 rs148217035 0.195068177581703 0.00000e+00
chr12 40740223 rs148319899 -2.21148355809518 0.00000e+00
chr12 40640339 rs148547517 -2.01137872833586 0.00000e+00
chr12 40610744 rs149124411 0.291414947465819 0.00000e+00
chr12 40663048 rs149161135 -1.00556080097421 0.00000e+00
chr12 40591173 rs1491922 -0.481476723033136 0.00000e+00
chr12 40591117 rs1491923 -0.529120730118688 0.00000e+00
chr12 40602224 rs1491932 -0.930389145350336 0.00000e+00
chr12 40596166 rs1491934 1.37134577473833 0.00000e+00
chr12 40596167 rs1491935 0.689507095558431 0.00000e+00
chr12 40650449 rs1491936 -1.12625895225761 0.00000e+00
chr12 40645630 rs1491938 0.516929914337432 0.00000e+00
chr12 40645596 rs1491939 -0.10985346776583 0.00000e+00
chr12 40620815 rs1491941 0.906552016725946 0.00000e+00
chr12 40620808 rs1491942 -1.12625895225761 0.00000e+00
chr12 40620416 rs1491943 1.2654702034371 0.00000e+00
chr12 40618412 rs1491945 1.39040337757255 0.00000e+00
chr12 40674634 rs149331112 0.733974835504947 0.00000e+00
chr12 40621156 rs149406366 1.96848399687725 0.00000e+00
chr12 40728626 rs149596967 -2.29830152656219 0.00000e+00
chr12 40628232 rs150082974 1.83719828846373 0.00000e+00
chr12 40622468 rs150540643 1.96636648545122 0.00000e+00
chr12 40647956 rs150645252 2.07118330103944 0.00000e+00
chr12 40613997 rs1602578 -0.0420931021330448 0.00000e+00
chr12 40605204 rs17443304 -0.0876195977925723 0.00000e+00
chr12 40644503 rs17443407 -1.17072669220412 0.00000e+00
chr12 40644752 rs17443414 1.13736076216262 0.00000e+00
chr12 40656677 rs17443552 1.10030431220719 0.00000e+00
chr12 40658867 rs17443600 -2.00926121690984 0.00000e+00
chr12 40658964 rs17443607 -0.331133411785394 0.00000e+00
chr12 40666737 rs17443656 2.06694827818739 0.00000e+00
chr12 40669869 rs17443670 -0.428538937382522 0.00000e+00
chr12 40690061 rs17443815 -0.629702522854853 0.00000e+00
chr12 40703878 rs17443854 -0.47406543304205 0.00000e+00
chr12 40707410 rs17443909 -1.93832458413801 0.00000e+00
chr12 40711889 rs17443958 -0.276078114708756 0.00000e+00
chr12 40715083 rs17444028 1.94307385976495 0.00000e+00
chr12 40716434 rs17444054 -1.97432227838043 0.00000e+00
chr12 40718775 rs17444068 -0.701697911339687 0.00000e+00
chr12 40719339 rs17444075 -0.921919099646238 0.00000e+00
chr12 40719806 rs17444089 -0.629702522854853 0.00000e+00
chr12 40721159 rs17444103 -2.23583493949446 0.00000e+00
chr12 40724494 rs17444124 -0.442302761651682 0.00000e+00
chr12 40725880 rs17444145 0.07225251487228 0.00000e+00
chr12 40756321 rs17444202 0.851496719649308 0.00000e+00
chr12 40759595 rs17444223 -0.422186403104449 0.00000e+00
chr12 40609580 rs17461575 1.95683768403411 0.00000e+00
chr12 40651972 rs17461664 1.96001395117315 0.00000e+00
chr12 40660487 rs17461720 0.299884993169917 0.00000e+00
chr12 40751770 rs17462055 0.39940803019307 0.00000e+00
chr12 40593919 rs17465610 1.99918791255461 0.00000e+00
chr12 40606992 rs17465681 1.32793679050483 0.00000e+00
chr12 40619757 rs17465737 0.269181077492562 0.00000e+00
chr12 40620881 rs17465751 2.21093905515706 0.00000e+00
chr12 40653713 rs17465870 -0.0696207506713638 0.00000e+00
chr12 40653971 rs17465877 -0.0632682163932902 0.00000e+00
chr12 40656164 rs17465898 0.533870005745628 0.00000e+00
chr12 40656395 rs17465912 1.09077551079008 0.00000e+00
chr12 40658155 rs17465946 2.09447592672571 0.00000e+00
chr12 40667663 rs17466016 1.98330657685942 0.00000e+00
chr12 40675346 rs17466044 -0.968504351018778 0.00000e+00
chr12 40679254 rs17466150 1.07807044223393 0.00000e+00
chr12 40682590 rs17466178 -0.668876484236307 0.00000e+00
chr12 40684622 rs17466185 0.606924149943474 0.00000e+00
chr12 40712359 rs17466339 0.910787039577995 0.00000e+00
chr12 40713219 rs17466360 -0.2453741990314 0.00000e+00
chr12 40718000 rs17466430 1.07383541938188 0.00000e+00
chr12 40722549 rs17466486 -0.60958616430762 0.00000e+00
chr12 40726567 rs17466521 -0.48359423445916 0.00000e+00
chr12 40754555 rs17466570 -0.384071197436007 0.00000e+00
chr12 40759980 rs17466605 -0.0780907963754619 0.00000e+00
chr12 40760631 rs17466626 -2.44970359352294 0.00000e+00
chr12 40698686 rs17484286 0.0489598891860101 0.00000e+00
chr12 40717143 rs17484342 1.95366141689508 0.00000e+00
chr12 40740873 rs17484493 -2.19983724525204 0.00000e+00
chr12 40747751 rs17484541 2.2490542608255 0.00000e+00
chr12 40656962 rs17490817 -1.06167485376386 0.00000e+00
chr12 40694018 rs17491061 -1.10402508228435 0.00000e+00
chr12 40731853 rs17491466 0.120955277670844 0.00000e+00
chr12 40735664 rs17491536 -1.15908037936099 0.00000e+00
chr12 40606702 rs17519419 -1.26283843923619 0.00000e+00
chr12 40635356 rs17519573 0.991252473766927 0.00000e+00
chr12 40678341 rs17519846 0.59527783710034 0.00000e+00
chr12 40682197 rs17519881 0.62809926420372 0.00000e+00
chr12 40725204 rs17520251 1.0410139922785 0.00000e+00
chr12 40726748 rs17520278 -1.0828499680241 0.00000e+00
chr12 40627004 rs1817817 0.0743700262983045 0.00000e+00
chr12 40749790 rs182035168 0.441758258713561 0.00000e+00
chr12 40747809 rs182823970 -0.829807352614171 0.00000e+00
chr12 40597426 rs184286273 -1.02038338095638 0.00000e+00
chr12 40659658 rs186675266 0.258593520362439 0.00000e+00
chr12 40639962 rs187455350 -1.8165676771416 0.00000e+00
chr12 40713759 rs1896252 -0.392541243140105 0.00000e+00
chr12 40713560 rs1896254 -0.392541243140105 0.00000e+00
chr12 40606552 rs1907630 0.50210733435526 0.00000e+00
chr12 40606663 rs1907631 -0.5301794858317 0.00000e+00
chr12 40650502 rs1907632 1.08971675507707 0.00000e+00
chr12 40650351 rs1907633 1.08759924365104 0.00000e+00
chr12 40614320 rs1907634 0.0351960649168506 0.00000e+00
chr12 40592628 rs190894308 -1.92350200415584 0.00000e+00
chr12 40652394 rs2046928 0.640804332759867 0.00000e+00
chr12 40712620 rs2114568 0.364469091663666 0.00000e+00
chr12 40712575 rs2114569 -0.396776265992154 0.00000e+00
chr12 40600942 rs2131086 0.203538223285801 0.00000e+00
chr12 40629554 rs2131088 -0.123617292034989 0.00000e+00
chr12 40713003 rs2162469 0.360234068811616 0.00000e+00
chr12 40737832 rs2162471 0.39940803019307 0.00000e+00
chr12 40604821 rs2172240 0.479873464382003 0.00000e+00
chr12 40606001 rs2172241 0.497872311503211 0.00000e+00
chr12 40607098 rs2201141 0.892788192456786 0.00000e+00
chr12 40610863 rs2201144 -0.0780907963754619 0.00000e+00
chr12 40605916 rs2263419 0.888553169604738 0.00000e+00
chr12 40606007 rs2263420 0.88961192531775 0.00000e+00
chr12 40603316 rs2279535 -0.930389145350336 0.00000e+00
chr12 40639561 rs2404580 -0.548178332952908 0.00000e+00
chr12 40639901 rs2404581 0.69374211841048 0.00000e+00
chr12 40722452 rs2404832 -0.319487098942259 0.00000e+00
chr12 40722457 rs2404833 -0.0780907963754619 0.00000e+00
chr12 40729007 rs2404834 -0.615938698585693 0.00000e+00
chr12 40730463 rs2404835 -0.478300455894099 0.00000e+00
chr12 40755476 rs2404836 0.318942596004138 0.00000e+00
chr12 40604075 rs2638230 -0.892273939681895 0.00000e+00
chr12 40594722 rs2638233 0.874789345335578 0.00000e+00
chr12 40609883 rs2638272 0.902316993873897 0.00000e+00
chr12 40592225 rs2708418 -0.881686382551772 0.00000e+00
chr12 40592388 rs2708419 0.847261696797259 0.00000e+00
chr12 40592501 rs2708420 0.872671833909553 0.00000e+00
chr12 40593403 rs2708421 0.177069330460494 0.00000e+00
chr12 40593676 rs2708422 -0.893332695394907 0.00000e+00
chr12 40594570 rs2708424 0.880083123900639 0.00000e+00
chr12 40598871 rs2708426 0.494696044364174 0.00000e+00
chr12 40614656 rs2708435 -0.945211725332508 0.00000e+00
chr12 40614746 rs2708436 0.0362548206298629 0.00000e+00
chr12 40614779 rs2708437 0.0373135763428752 0.00000e+00
chr12 40615432 rs2708438 -0.0770320406624496 0.00000e+00
chr12 40625167 rs2708441 0.0733112705852922 0.00000e+00
chr12 40649134 rs2708447 0.197185689007727 0.00000e+00
chr12 40600696 rs2723259 0.891729436743774 0.00000e+00
chr12 40601708 rs2723260 0.498931067216223 0.00000e+00
chr12 40652520 rs2723264 -0.32478087750732 0.00000e+00
chr12 40628586 rs2723268 -0.113029734904867 0.00000e+00
chr12 40629787 rs2723269 -0.135263604878124 0.00000e+00
chr12 40631727 rs2723270 0.127307811948918 0.00000e+00
chr12 40616414 rs28365207 1.25488264630698 0.00000e+00
chr12 40690944 rs28365224 -1.05002854092072 0.00000e+00
chr12 40727145 rs28365229 2.12094481955102 0.00000e+00
chr12 40706375 rs2896975 0.1516591933482 0.00000e+00
chr12 40727924 rs2896976 0.0500186448990224 0.00000e+00
chr12 40755416 rs2896978 -0.354426037471663 0.00000e+00
chr12 40707861 rs33958906 -1.18660802789931 0.00000e+00
chr12 40757330 rs33962975 0.555045120005874 0.00000e+00
chr12 40740686 rs33995883 -2.29300774799712 0.00000e+00
chr12 40695791 rs35124455 0.124131544809881 0.00000e+00
chr12 40713899 rs35303786 -1.78798127289027 0.00000e+00
chr12 40677599 rs36212067 -2.00290868263176 0.00000e+00
chr12 40677655 rs36220738 2.01401049253678 0.00000e+00
chr12 40691911 rs36220743 0.289297436039795 0.00000e+00
chr12 40718883 rs3747891 0.960548558089572 0.00000e+00
chr12 40758652 rs3761863 -0.0770320406624496 0.00000e+00
chr12 40761007 rs3789328 -0.0727970178104006 0.00000e+00
chr12 40760764 rs3789329 -2.35547433506485 0.00000e+00
chr12 40753303 rs3789330 0.316825084578114 0.00000e+00
chr12 40761951 rs3886747 0.0468423777599856 0.00000e+00
chr12 40737803 rs3943893 0.302002504595942 0.00000e+00
chr12 40750218 rs41269721 -0.628643767141841 0.00000e+00
chr12 40704557 rs41286474 0.603747882804438 0.00000e+00
chr12 40670801 rs4272849 0.602689127091425 0.00000e+00
chr12 40611618 rs4291738 -1.28189604207041 0.00000e+00
chr12 40657225 rs4293189 0.589984058535278 0.00000e+00
chr12 40679871 rs4310676 -0.3576023046107 0.00000e+00
chr12 40680941 rs4318033 0.994428740905964 0.00000e+00
chr12 40715590 rs4423250 -0.634996301419914 0.00000e+00
chr12 40728191 rs4465428 0.07225251487228 0.00000e+00
chr12 40681057 rs4473003 0.0733112705852922 0.00000e+00
chr12 40687654 rs4483664 -0.356543548897688 0.00000e+00
chr12 40621904 rs4567538 -0.934624168202386 0.00000e+00
chr12 40670056 rs4628750 -2.01031997262285 0.00000e+00
chr12 40592340 rs4767965 2.02671556109292 0.00000e+00
chr12 40597869 rs4767967 -0.0304467892899099 0.00000e+00
chr12 40709624 rs4767969 0.369762870228727 0.00000e+00
chr12 40731961 rs4767970 -0.279254381847793 0.00000e+00
chr12 40732032 rs4767971 0.0944863848455375 0.00000e+00
chr12 40732123 rs4767972 -0.33430967892443 0.00000e+00
chr12 40756248 rs4767973 -0.101383422061732 0.00000e+00
chr12 40597545 rs4768221 -0.0283292778638854 0.00000e+00
chr12 40661403 rs4768224 -0.340662213202504 0.00000e+00
chr12 40688497 rs4768226 1.96742524116424 0.00000e+00
chr12 40709499 rs4768227 -0.402070044557216 0.00000e+00
chr12 40711447 rs4768228 1.94201510405194 0.00000e+00
chr12 40715248 rs4768229 -0.39465875456613 0.00000e+00
chr12 40715302 rs4768230 -0.159614986277406 0.00000e+00
chr12 40737183 rs4768231 -0.329015900359369 0.00000e+00
chr12 40737240 rs4768232 -0.332192167498406 0.00000e+00
chr12 40743788 rs4768233 -0.332192167498406 0.00000e+00
chr12 40743830 rs4768234 -0.332192167498406 0.00000e+00
chr12 40744086 rs4768235 0.286121168900758 0.00000e+00
chr12 40756472 rs4768236 0.07225251487228 0.00000e+00
chr12 40756687 rs4768237 -0.0770320406624496 0.00000e+00
chr12 40761358 rs4768238 -0.102442177774744 0.00000e+00
chr12 40685846 rs56325408 -1.03732347236458 0.00000e+00
chr12 40741678 rs58911468 -1.01614835810433 0.00000e+00
chr12 40728428 rs60776971 1.05371906083465 0.00000e+00
chr12 40728298 rs61007767 -1.08920250230218 0.00000e+00
chr12 40742701 rs61915610 -0.616997454298706 0.00000e+00
chr12 40602765 rs6581593 1.46981005604847 0.00000e+00
chr12 40634158 rs6581622 0.830321605389063 0.00000e+00
chr12 40731506 rs6581667 0.351764023107518 0.00000e+00
chr12 40731606 rs6581668 0.35705780167258 0.00000e+00
chr12 40761663 rs66737902 -0.883803893977797 0.00000e+00
