RefSeq_ID	Entrez_Gene_ID	Symbol	Probe_Id	Chromosome	Probe_Coordinates	Definition
NM_006659.2	10844	TUBGCP2	ILMN_1775074	10	135093390-135093405:135094777-135094810	Homo sapiens tubulin, gamma complex associated protein 2 (TUBGCP2), mRNA.
NM_001250.4	958	CD40	ILMN_1779257	20	44191018-44191067	Homo sapiens CD40 molecule, TNF receptor superfamily member 5 (CD40), transcript variant 1, mRNA.
NM_173655.2	285220	EPHA6	ILMN_1657349	3	97167472-97167521	Homo sapiens EPH receptor A6 (EPHA6), transcript variant 2, mRNA.
NM_016941.2	10683	DLL3	ILMN_1736096	19	44690751-44690800	Homo sapiens delta-like 3 (Drosophila) (DLL3), transcript variant 1, mRNA.
NM_016941.2	10683	DLL3	ILMN_1753287	19	44690618-44690667	Homo sapiens delta-like 3 (Drosophila) (DLL3), transcript variant 1, mRNA.
NM_152328.3	122622	ADSSL1	ILMN_1720235	14	104284422-104284471	Homo sapiens adenylosuccinate synthase like 1 (ADSSL1), transcript variant 2, mRNA.
NM_152328.3	122622	ADSSL1	ILMN_2240009	14	104261783-104261832	Homo sapiens adenylosuccinate synthase like 1 (ADSSL1), transcript variant 2, mRNA.
NM_139343.1	274	BIN1	ILMN_2309245	2	127805917-127805966	Homo sapiens bridging integrator 1 (BIN1), transcript variant 1, mRNA.
NM_032320.5	84280	BTBD10	ILMN_1809344	11	13410415-13410464	Homo sapiens BTB (POZ) domain containing 10 (BTBD10), mRNA.
NM_007234.3	11258	DCTN3	ILMN_1762281	9	34613805-34613854	Homo sapiens dynactin 3 (p22) (DCTN3), transcript variant 1, mRNA.
NM_004309.3	396	ARHGDIA	ILMN_1734742	17	79825722-79825771	Homo sapiens Rho GDP dissociation inhibitor (GDI) alpha (ARHGDIA), mRNA.
NM_183233.1	5002	SLC22A18	ILMN_1724902	11	2877562-2877611	Homo sapiens solute carrier family 22 (organic cation transporter), member 18 (SLC22A18), transcript variant 2, mRNA.
NM_012224.1	4750	NEK1	ILMN_2162234	4	170551218-170551267	Homo sapiens NIMA (never in mitosis gene a)-related kinase 1 (NEK1), mRNA.
NM_017827.2	54938	SARS2	ILMN_1655684	19	44097828-44097877	Homo sapiens seryl-tRNA synthetase 2, mitochondrial (SARS2), nuclear gene encoding mitochondrial protein, mRNA.
NM_152494.1	149095	DCST1	ILMN_1774491	1	153289913-153289962	Homo sapiens DC-STAMP domain containing 1 (DCST1), mRNA.
NM_004793.2	9361	LONP1	ILMN_1766125	19	5692097-5692146	Homo sapiens lon peptidase 1, mitochondrial (LONP1), nuclear gene encoding mitochondrial protein, mRNA.
NM_006425.4	10569	SLU7	ILMN_1685369	5	159830404-159830453	Homo sapiens SLU7 splicing factor homolog (S. cerevisiae) (SLU7), mRNA.
NM_014287.3	23420	NOMO1	ILMN_2126957	16	14897000-14897003:14897004-14897049	Homo sapiens NODAL modulator 1 (NOMO1), mRNA.
NM_012460.2	26520	TIMM9	ILMN_1653709	14	58875737-58875751:58875752-58875786	Homo sapiens translocase of inner mitochondrial membrane 9 homolog (yeast) (TIMM9), nuclear gene encoding mitochondrial protein, mRNA.
NM_002249.4	3782	KCNN3	ILMN_1801608	1	154841715-154841764	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 (KCNN3), transcript variant 1, mRNA.
NM_002249.4	3782	KCNN3	ILMN_1744897	1	154680210-154680259	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 (KCNN3), transcript variant 1, mRNA.
NM_031471.4	83706	FERMT3	ILMN_2366330	11	63747749-63747798	Homo sapiens fermitin family homolog 3 (Drosophila) (FERMT3), transcript variant URP2SF, mRNA.
NM_031471.4	83706	FERMT3	ILMN_2366334	11	63747210-63747237:63747361-63747382	Homo sapiens fermitin family homolog 3 (Drosophila) (FERMT3), transcript variant URP2SF, mRNA.
NM_003284.2	7141	TNP1	ILMN_2150797	2	217432556-217432605	Homo sapiens transition protein 1 (during histone to protamine replacement) (TNP1), mRNA.
NM_014819.3	9867	PJA2	ILMN_1688702			Homo sapiens praja 2, RING-H2 motif containing (PJA2), mRNA.
NM_004330.1	663	BNIP2	ILMN_1770803	15	57742649-57742698	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 2 (BNIP2), mRNA.
NM_005224.2	1820	ARID3A	ILMN_1670130	19	923539-923588	Homo sapiens AT rich interactive domain 3A (BRIGHT-like) (ARID3A), mRNA.
NM_058165.2	116255	MOGAT1	ILMN_1765971	2	223282730-223282779	Homo sapiens monoacylglycerol O-acyltransferase 1 (MOGAT1), mRNA.
NM_145200.2	57010	CABP4	ILMN_1688864	11	66983024-66983073	Homo sapiens calcium binding protein 4 (CABP4), mRNA.
NM_182767.3	55117	SLC6A15	ILMN_1659166	12	83801792-83801841	Homo sapiens solute carrier family 6, member 15 (SLC6A15), transcript variant 1, mRNA.
NM_182767.3	55117	SLC6A15	ILMN_1810533	12	83777831-83777880	Homo sapiens solute carrier family 6, member 15 (SLC6A15), transcript variant 1, mRNA.
NM_000990.2	6157	RPL27A	ILMN_1713086	11	8661326-8661375	Homo sapiens ribosomal protein L27a (RPL27A), mRNA.
NM_145048.2	133015	C4orf28	ILMN_2205695	4	20338715-20338764	Homo sapiens chromosome 4 open reading frame 28 (C4orf28), mRNA.
NM_001945.1	1839	HBEGF	ILMN_2121408	5	139692882-139692931	Homo sapiens heparin-binding EGF-like growth factor (HBEGF), mRNA.
NM_001002034.2	150368	FAM109B	ILMN_1806487	22	40805095-40805144	Homo sapiens family with sequence similarity 109, member B (FAM109B), mRNA.
NM_005451.3	9260	PDLIM7	ILMN_2396639	5	176918082-176918131	Homo sapiens PDZ and LIM domain 7 (enigma) (PDLIM7), transcript variant 1, mRNA.
NM_005451.3	9260	PDLIM7	ILMN_1814985	5	176917901-176917907:176918011-176918053	Homo sapiens PDZ and LIM domain 7 (enigma) (PDLIM7), transcript variant 1, mRNA.
NM_030576.3	80774	LIMD2	ILMN_1673867	17	61773670-61773719	Homo sapiens LIM domain containing 2 (LIMD2), mRNA.
NM_152505.3	150082	LCA5L	ILMN_1665657	21	40777871-40777920	Homo sapiens Leber congenital amaurosis 5-like (LCA5L), mRNA.
NM_003759.1	8671	SLC4A4	ILMN_2184556	4	72656196-72656245	Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 4 (SLC4A4), mRNA.
XM_001129442.1	1474	CST6	ILMN_1697733			PREDICTED: Homo sapiens cystatin E/M (CST6), mRNA.
NM_033012.2	8600	TNFSF11	ILMN_1658713	13	42043796-42043845	Homo sapiens tumor necrosis factor (ligand) superfamily, member 11 (TNFSF11), transcript variant 2, mRNA.
NM_181599.2	140258	KRTAP13-1	ILMN_2055638	21	30690733-30690782	Homo sapiens keratin associated protein 13-1 (KRTAP13-1), mRNA.
NM_024688.1	79741	C10orf68	ILMN_1662791	10	33205452-33205501	Homo sapiens chromosome 10 open reading frame 68 (C10orf68), mRNA.
NM_005392.3	5253	PHF2	ILMN_1720476	9	95481278-95481327	Homo sapiens PHD finger protein 2 (PHF2), mRNA.
NM_005392.3	5253	PHF2	ILMN_1726426	9	95378947-95378974:95432073-95432094	Homo sapiens PHD finger protein 2 (PHF2), mRNA.
NM_183043.1	6049	RNF6	ILMN_2275455	13	26795923-26795972	Homo sapiens ring finger protein (C3H2C3 type) 6 (RNF6), transcript variant 4, mRNA.
NM_003214.3	7005	TEAD3	ILMN_1814002	6	35549426-35549475	Homo sapiens TEA domain family member 3 (TEAD3), mRNA.
NM_173491.2	134353	LSM11	ILMN_1702698	5	157116255-157116304	Homo sapiens LSM11, U7 small nuclear RNA associated (LSM11), mRNA.
NM_004262.2	9407	TMPRSS11D	ILMN_1746928	4	68686762-68686811	Homo sapiens transmembrane protease, serine 11D (TMPRSS11D), mRNA.
NM_006014.3	8270	LAGE3	ILMN_1708151	X	153706351-153706397:153706622-153706624	Homo sapiens L antigen family, member 3 (LAGE3), mRNA.
NM_001100422.1	26010	SPATS2L	ILMN_1683678	2	201051039-201051088	Homo sapiens spermatogenesis associated, serine-rich 2-like (SPATS2L), transcript variant 2, mRNA.
NM_015939.3	51605	TRMT6	ILMN_1765085	20	5918794-5918843	Homo sapiens tRNA methyltransferase 6 homolog (S. cerevisiae) (TRMT6), mRNA.
NM_138765.2	581	BAX	ILMN_2321064	19	54155907-54155956	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA.
NM_005933.2	4297	MLL	ILMN_1668683	11	117900782-117900831	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) (MLL), mRNA.
NM_022039.3	6468	FBXW4	ILMN_1671427	10	103422758-103422794:103423235-103423247	Homo sapiens F-box and WD repeat domain containing 4 (FBXW4), mRNA.
NM_020850.1	57610	RANBP10	ILMN_1667306	16	67757301-67757350	Homo sapiens RAN binding protein 10 (RANBP10), mRNA.
NM_003315.1	7266	DNAJC7	ILMN_1663616	17	37387399-37387448	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 7 (DNAJC7), mRNA.
NM_021642.2	2212	FCGR2A	ILMN_2289849	1	159755560-159755609	Homo sapiens Fc fragment of IgG, low affinity IIa, receptor (CD32) (FCGR2A), mRNA.
NM_173568.3	89766	UMODL1	ILMN_1665246	21	42404562-42404611	Homo sapiens uromodulin-like 1 (UMODL1), transcript variant 2, mRNA.
NM_203304.1	399664	RKHD1	ILMN_2162465	19	1505854-1505903	Homo sapiens ring finger and KH domain containing 1 (RKHD1), mRNA.
NM_030821.3	81579	PLA2G12A	ILMN_1714956	4	110854288-110854337	Homo sapiens phospholipase A2, group XIIA (PLA2G12A), mRNA.
NM_033549.3	90933	TRIM41	ILMN_1813027	5	180594849-180594898	Homo sapiens tripartite motif-containing 41 (TRIM41), transcript variant 1, mRNA.
NM_024623.1	79676	OGFOD2	ILMN_1704019	12	122030181-122030230	Homo sapiens 2-oxoglutarate and iron-dependent oxygenase domain containing 2 (OGFOD2), mRNA.
NR_002815.1	374491	LOC374491	ILMN_1673969	13	24053799-24053848	Homo sapiens TPTE and PTEN homologous inositol lipid phosphatase pseudogene (LOC374491), non-coding RNA. XR_001339 XR_001340 XR_001341
NR_002815.1	374491	LOC374491	ILMN_2183424	13	24069625-24069674	Homo sapiens TPTE and PTEN homologous inositol lipid phosphatase pseudogene (LOC374491), non-coding RNA. XR_001339 XR_001340 XR_001341
NM_006561.2	10659	CUGBP2	ILMN_2400947	10	11418045-11418094	Homo sapiens CUG triplet repeat, RNA binding protein 2 (CUGBP2), transcript variant 2, mRNA.
NM_001080458.1	344191	EVX2	ILMN_2045369	2	176948160-176948209	Homo sapiens even-skipped homeobox 2 (EVX2), mRNA.
NM_001079809.1	653659	TMEM183B	ILMN_2172269	3	151182593-151182642	Homo sapiens transmembrane protein 183B (TMEM183B), mRNA.
NM_001011545.1	571	BACH1	ILMN_1751149	21	29655232-29655281	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 3, mRNA.
NM_001011545.1	571	BACH1	ILMN_1807181	21	29621160-29621209	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 3, mRNA.
NM_018342.3	55314	TMEM144	ILMN_1708110	4	159395657-159395706	Homo sapiens transmembrane protein 144 (TMEM144), mRNA.
NM_019602.1	56244	BTNL2	ILMN_1688101	6	32470653-32470702	Homo sapiens butyrophilin-like 2 (MHC class II associated) (BTNL2), mRNA.
NM_153216.1	134187	POU5F2	ILMN_1815649	5	93102039-93102088	Homo sapiens POU domain class 5, transcription factor 2 (POU5F2), mRNA.
NM_005384.2	4783	NFIL3	ILMN_1707312	9	94171630-94171679	Homo sapiens nuclear factor, interleukin 3 regulated (NFIL3), mRNA.
NM_001656.3	373	TRIM23	ILMN_1752741	5	64923371-64923420	Homo sapiens tripartite motif-containing 23 (TRIM23), transcript variant alpha, mRNA.
NM_003630.1	8504	PEX3	ILMN_2057389	6	143852411-143852460	Homo sapiens peroxisomal biogenesis factor 3 (PEX3), mRNA.
NM_001002844.1	54816	ZNF280D	ILMN_1736555	15	56992149-56992198	Homo sapiens zinc finger protein 280D (ZNF280D), transcript variant 3, mRNA.
NM_004948.2	1823	DSC1	ILMN_2402640	18	26963542-26963591	Homo sapiens desmocollin 1 (DSC1), transcript variant Dsc1b, mRNA.
NM_006329.2	10516	FBLN5	ILMN_2223941	14	91405850-91405899	Homo sapiens fibulin 5 (FBLN5), mRNA.
NM_001079514.1	29855	UBN1	ILMN_2399503	16	4872218-4872267	Homo sapiens ubinuclein 1 (UBN1), transcript variant 2, mRNA.
NM_001079514.1	29855	UBN1	ILMN_2290089	16	4838161-4838210	Homo sapiens ubinuclein 1 (UBN1), transcript variant 2, mRNA.
NM_025008.3	54507	ADAMTSL4	ILMN_1762294	1	148797785-148797824:148797825-148797834	Homo sapiens ADAMTS-like 4 (ADAMTSL4), transcript variant 2, mRNA.
NM_025008.3	54507	ADAMTSL4	ILMN_1687035	1	148797683-148797732	Homo sapiens ADAMTS-like 4 (ADAMTSL4), transcript variant 2, mRNA.
NM_014377.1	27000	DNAJC2	ILMN_2174296	7	102957360-102957409	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 2 (DNAJC2), transcript variant 1, mRNA.
NM_014062.1	28987	NOB1	ILMN_1689110	16	69776094-69776143	Homo sapiens NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1), mRNA.
NM_152621.4	166929	SGMS2	ILMN_1685176	4	109051377-109051426	Homo sapiens sphingomyelin synthase 2 (SGMS2), mRNA.
XM_001131199.1	283847	FLJ35894	ILMN_1697634			PREDICTED: Homo sapiens hypothetical protein FLJ35894 (FLJ35894), mRNA.
NM_054021.1	83550	GPR101	ILMN_1796431	X	136112368-136112417	Homo sapiens G protein-coupled receptor 101 (GPR101), mRNA.
NM_001657.2	374	AREG	ILMN_1804421	4	75320682-75320726:75529717-75529721	Homo sapiens amphiregulin (AREG), mRNA.
NM_016174.3	51148	CERCAM	ILMN_1750563	9	130239121-130239170	Homo sapiens cerebral endothelial cell adhesion molecule (CERCAM), mRNA.
NM_006107.2	51747	CROP	ILMN_2299072	17	46184912-46184961	Homo sapiens cisplatin resistance-associated overexpressed protein (CROP), transcript variant 2, mRNA.
NM_173653.1	285195	SLC9A9	ILMN_1758315	3	144467024-144467073	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 9 (SLC9A9), mRNA.
NM_001495.4	2675	GFRA2	ILMN_1656300	8	21604645-21604694	Homo sapiens GDNF family receptor alpha 2 (GFRA2), transcript variant 1, mRNA.
NM_020192.2	57002	C7orf36	ILMN_1793508	7	39578703-39578752	Homo sapiens chromosome 7 open reading frame 36 (C7orf36), mRNA.
NM_178127.2	253935	ANGPTL5	ILMN_2166696	11	101267403-101267452	Homo sapiens angiopoietin-like 5 (ANGPTL5), mRNA.
NM_007185.3	11189	TNRC4	ILMN_1681234	1	151675155-151675204	Homo sapiens trinucleotide repeat containing 4 (TNRC4), mRNA.
NM_145280.3	151194	FAM119A	ILMN_2049364	2	208185337-208185386	Homo sapiens family with sequence similarity 119, member A (FAM119A), mRNA.
NM_003674.2	8558	CDK10	ILMN_1700611	16	88281672-88281721	Homo sapiens cyclin-dependent kinase (CDC2-like) 10 (CDK10), transcript variant 1, mRNA.
NM_152322.2	121551	BTBD11	ILMN_1705066	12	106577350-106577399	Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.
NM_152322.2	121551	BTBD11	ILMN_1654153	12	106552746-106552795	Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.
NM_003015.2	6425	SFRP5	ILMN_1790026	10	99516771-99516820	Homo sapiens secreted frizzled-related protein 5 (SFRP5), mRNA.
NM_016132.3	50804	MYEF2	ILMN_1710329	15	48432801-48432850	Homo sapiens myelin expression factor 2 (MYEF2), mRNA.
NM_001018081.1	553128	KIR2DL5B	ILMN_1685629	19	96194-96243	Homo sapiens killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B (KIR2DL5B), mRNA.
NM_005984.1	6576	SLC25A1	ILMN_1813671	22	17543460-17543509	Homo sapiens solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 (SLC25A1), nuclear gene encoding mitochondrial protein, mRNA.
NM_005694.1	10063	COX17	ILMN_2187718	3	120878850-120878899	Homo sapiens COX17 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX17), nuclear gene encoding mitochondrial protein, mRNA.
NM_022060.2	63874	ABHD4	ILMN_1700633	14	22150820-22150869	Homo sapiens abhydrolase domain containing 4 (ABHD4), mRNA.
NM_014838.2	9889	ZBED4	ILMN_1782129	22	48667634-48667683	Homo sapiens zinc finger, BED-type containing 4 (ZBED4), mRNA.
NM_003171.2	6832	SUPV3L1	ILMN_1750008	10	70638607-70638656	Homo sapiens suppressor of var1, 3-like 1 (S. cerevisiae) (SUPV3L1), mRNA.
NM_001001563.1	92609	TIMM50	ILMN_1752229	19	39981087-39981136	Homo sapiens translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) (TIMM50), nuclear gene encoding mitochondrial protein, mRNA.
NM_173087.1	825	CAPN3	ILMN_2332691	15	40491414-40491463	Homo sapiens calpain 3, (p94) (CAPN3), transcript variant 3, mRNA.
NM_139289.1	8852	AKAP4	ILMN_1734794	X	49955705-49955754	Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.
NM_139289.1	8852	AKAP4	ILMN_2253207	X	49964917-49964966	Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.
NM_001287.3	1186	CLCN7	ILMN_1694731	16	1435358-1435407	Homo sapiens chloride channel 7 (CLCN7), mRNA.
NM_004901.2	9583	ENTPD4	ILMN_1806304	8	23346503-23346552	Homo sapiens ectonucleoside triphosphate diphosphohydrolase 4 (ENTPD4), mRNA.
NM_004854.3	9486	CHST10	ILMN_1736828	2	101008490-101008539	Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA.
NM_019016.1	192666	KRT24	ILMN_1770663	17	36108053-36108102	Homo sapiens keratin 24 (KRT24), mRNA.
NM_080861.3	90864	SPSB3	ILMN_1682864	16	1826790-1826839	Homo sapiens splA/ryanodine receptor domain and SOCS box containing 3 (SPSB3), mRNA.
NM_001321.1	1466	CSRP2	ILMN_1660806	12	77253381-77253420:77254064-77254073	Homo sapiens cysteine and glycine-rich protein 2 (CSRP2), mRNA.
NM_005023.2	5229	PGGT1B	ILMN_2156786	5	114576166-114576179:114580461-114580496	Homo sapiens protein geranylgeranyltransferase type I, beta subunit (PGGT1B), mRNA.
NM_002763.3	5629	PROX1	ILMN_1752622	1	212276159-212276208	Homo sapiens prospero homeobox 1 (PROX1), mRNA.
NM_005491.2	10046	MAMLD1	ILMN_1680856	X	149432768-149432817	Homo sapiens mastermind-like domain containing 1 (MAMLD1), mRNA.
NM_003714.2	8614	STC2	ILMN_1691884	5	172741844-172741893	Homo sapiens stanniocalcin 2 (STC2), mRNA.
NM_001001874.1	89882	TPD52L3	ILMN_1738395	9	6321701-6321750	Homo sapiens tumor protein D52-like 3 (TPD52L3), transcript variant 2, mRNA.
NM_001001874.1	89882	TPD52L3	ILMN_1696867	9	6318640-6318689	Homo sapiens tumor protein D52-like 3 (TPD52L3), transcript variant 2, mRNA.
NM_001042581.1	10073	SNUPN	ILMN_2364535	15	75890710-75890759	Homo sapiens snurportin 1 (SNUPN), transcript variant 2, mRNA.
NM_003035.2	6491	STIL	ILMN_2413650	1	47715945-47715994	Homo sapiens SCL/TAL1 interrupting locus (STIL), transcript variant 2, mRNA.
NM_145306.2	219738	C10orf35	ILMN_1662470	10	71063149-71063198	Homo sapiens chromosome 10 open reading frame 35 (C10orf35), mRNA.
NM_006217.3	5276	SERPINI2	ILMN_1726225	3	168646930-168646963:168649798-168649813	Homo sapiens serpin peptidase inhibitor, clade I (pancpin), member 2 (SERPINI2), mRNA.
NM_001031705.1	54967	CXorf48	ILMN_2317446	X	134118159-134118208	Homo sapiens chromosome X open reading frame 48 (CXorf48), transcript variant 1, mRNA.
NM_001023566.1	401398	LOC401398	ILMN_2142255	7	124606418-124606467	Homo sapiens hypothetical protein LOC401398 (LOC401398), mRNA.
NM_020439.2	57172	CAMK1G	ILMN_1804339	1	207853599-207853648	Homo sapiens calcium/calmodulin-dependent protein kinase IG (CAMK1G), mRNA.
NM_007157.3	158586	ZXDB	ILMN_1685547	X	57623045-57623094	Homo sapiens zinc finger, X-linked, duplicated B (ZXDB), mRNA.
NM_032484.3	84514	GHDC	ILMN_1746378	17	37594936-37594985	Homo sapiens GH3 domain containing (GHDC), mRNA.
NM_203303.2	389874	ZCCHC13	ILMN_1658074	X	73441284-73441327:73441328-73441333	Homo sapiens zinc finger, CCHC domain containing 13 (ZCCHC13), mRNA.
NM_015946.4	53918	PELO	ILMN_1770811	5	52097614-52097663	Homo sapiens pelota homolog (Drosophila) (PELO), mRNA.
NM_032432.3	84448	ABLIM2	ILMN_1758825	4	8018194-8018243	Homo sapiens actin binding LIM protein family, member 2 (ABLIM2), mRNA.
NM_138390.2	92691	TMEM169	ILMN_1813796	2	216675514-216675563	Homo sapiens transmembrane protein 169 (TMEM169), mRNA.
NM_001081002.1	145497	C14orf166B	ILMN_2114190	14	76396845-76396894	Homo sapiens chromosome 14 open reading frame 166B (C14orf166B), mRNA.
NM_173728.2	22899	ARHGEF15	ILMN_1792571	17	8166286-8166335	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 15 (ARHGEF15), mRNA.
NM_004798.2	9371	KIF3B	ILMN_2081398	20	30385986-30386035	Homo sapiens kinesin family member 3B (KIF3B), mRNA.
NM_014776.2	9815	GIT2	ILMN_1760922	12	108875408-108875422:108882035-108882069	Homo sapiens G protein-coupled receptor kinase interactor 2 (GIT2), transcript variant 3, mRNA.
NM_014776.2	9815	GIT2	ILMN_2355776	12	108882115-108882146:108883466-108883483	Homo sapiens G protein-coupled receptor kinase interactor 2 (GIT2), transcript variant 3, mRNA.
