GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
4	rs1385742	6	47432637	rs9381563	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	6p12.3	NR	LOC105375082 - CD2AP	105375082	23607		67503	12845	rs9381563-?	rs9381563	0	9381563	intergenic_variant	1	NR	1E-12	12.0				Affymetrix [7795605] (imputed)	N
4	rs1385742	6	47440565	rs9369695	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Reticulocyte count	170,641 European ancestry individuals	NA	6p12.3	CD2AP	LOC105375082 - CD2AP	105375082	23607		75431	4917	rs9369695-A	rs9369695	0	9369695	intergenic_variant	1	0.2745	7E-12	11.154901959985743		0.02740763	[0.02-0.035] unit increase	Affymetrix [~ 2500000] (imputed)	N
4	rs1385742	6	47448336	rs9367279	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Reticulocyte fraction of red cells	170,690 European ancestry individuals	NA	6p12.3	CD2AP	CD2AP			23607			rs9367279-G	rs9367279	0	9367279	intron_variant	0	0.2747	2E-11	10.698970004336019		0.02681282	[0.019-0.035] unit increase	Affymetrix [~ 2500000] (imputed)	N
4	rs1385742	6	47452270	rs9296559	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte count	170,761 European ancestry individuals	NA	6p12.3	CD2AP	CD2AP			23607			rs9296559-C	rs9296559	0	9296559	intron_variant	0	0.2753	7E-18	17.154901959985743		0.03449695	[0.027-0.042] unit increase	Affymetrix [~ 2500000] (imputed)	N
4	rs1385742	6	47452270	rs9296559	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte percentage of red cells	170,763 European ancestry individuals	NA	6p12.3	CD2AP	CD2AP			23607			rs9296559-C	rs9296559	0	9296559	intron_variant	0	0.2753	5E-17	16.30102999566398		0.03353401	[0.026-0.041] unit increase	Affymetrix [~ 2500000] (imputed)	N
4	rs1385742	6	47452270	rs9296559	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Immature fraction of reticulocytes	170,548 European ancestry individuals	NA	6p12.3	CD2AP	CD2AP			23607			rs9296559-C	rs9296559	0	9296559	intron_variant	0	0.2752	1E-17	17.0		0.03398925	[0.026-0.042] unit increase	Affymetrix [~ 2500000] (imputed)	N
4	rs1385742	6	47453378	rs9349407	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	6p12.3	CD2AP	CD2AP			23607			rs9349407-C	rs9349407	0	9349407	intron_variant	0	0.27	9E-9	8.045757490560675		1.11	[1.07-1.15]	Affymetrix, Illumina [2324889] (imputed)	N
4	rs1385742	6	47487762	rs10948363	2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	6p12.3	CD2AP	CD2AP			23607			rs10948363-G	rs10948363	0	10948363	intron_variant	0	0.266	5E-11	10.301029995663981		1.1	[1.07-1.13]	Illumina [7055881] (imputed)	N
5	rs11767557	7	143103481	rs56402156	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	7q35	NR	EPHA1			2041			rs56402156-?	rs56402156	0	56402156	intron_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
5	rs11767557	7	143109139	rs11767557	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	7q35	EPHA1	EPHA1-AS1			285965			rs11767557-?	rs11767557	0	11767557	intron_variant	0	0.81	6E-10	9.221848749616356		1.11	[1.08-1.16]	Affymetrix, Illumina [2324889] (imputed)	N
