ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000120915	EPHX2	8	27348296	27403081	1	protein_coding	2053	EPHX2	4.92248524715445e-13	1.72964059	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000120885	CLU	8	27454434	27472548	-1	protein_coding	1191	CLU	NA	0.073359274	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000168077	SCARA3	8	27491385	27534293	1	protein_coding	51435	SCARA3	1.62407014825429e-07	1.370330205	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000147419	CCDC25	8	27590835	27630170	-1	protein_coding	55246	CCDC25	0.051834010875526	0.653982244	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000171320	ESCO2	8	27629466	27670157	1	protein_coding	157570	ESCO2	0.178963923075095	0.412854236	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000168078	PBK	8	27667137	27695612	-1	protein_coding	55872	PBK	4.09216216235921e-05	-0.528855598	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000168079	SCARA5	8	27727399	27850244	-1	protein_coding	286133	SCARA5	0.0669917769697247	2.521686404	22	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000189233	NUGGC	8	27879481	27941388	-1	protein_coding	389643	NUGGC	1.95612770357102e-07	0.50053277	14	6.578	3.492e-17	rs867230;rs9331908	6
ENSG00000134014	ELP3	8	27947190	28048673	1	protein_coding	55140	ELP3	3.92611121629076e-07	-0.149155724	14	6.578	3.492e-17	rs867230;rs9331908	6
ENSG00000048740	CELF2	10	11047259	11378674	1	protein_coding	10659	CELF2	0.998785801473528	-2.113005815	6	4.154	3.417e-08	rs12416487	7
ENSG00000148429	USP6NL	10	11495945	11653753	-1	protein_coding	9712	USP6NL	0.102392914785226	-0.64662965	6	4.154	3.417e-08	rs12416487	7
ENSG00000134463	ECHDC3	10	11784365	11806069	1	protein_coding	79746	ECHDC3	0.000536785623378491	NA	6	4.154	3.417e-08	rs12416487	7
ENSG00000148426	PROSER2	10	11865338	11914276	1	protein_coding	254427	PROSER2	0.00546315143684282	0.532052568	6	4.154	3.417e-08	rs12416487	7
ENSG00000151461	UPF2	10	11962021	12085169	-1	protein_coding	26019	UPF2	0.99999826926484	-0.698292246	6	4.154	3.417e-08	rs12416487	7
ENSG00000181192	DHTKD1	10	12110971	12165224	1	protein_coding	55526	DHTKD1	1.97824193673953e-16	0.035721442	6	4.154	3.417e-08	rs12416487	7
ENSG00000065665	SEC61A2	10	12171636	12211960	1	protein_coding	55176	SEC61A2	0.950042172255429	NA	6	4.154	3.417e-08	rs12416487	7
ENSG00000165609	NUDT5	10	12207324	12238143	-1	protein_coding	11164	NUDT5	0.0094606868155339	-1.193958708	6	4.154	3.417e-08	rs12416487	7
ENSG00000180210	F2	11	46740730	46761056	1	protein_coding	2147	F2	0.959943187768661	-0.037985029	2	6.321	8.198e-08	rs11039165;rs3824869	8
ENSG00000175216	CKAP5	11	46764598	46867847	-1	protein_coding	9793	CKAP5	0.99999999753418	-0.360017002	28	16.92	3.592e-09	rs11039165;rs3824869;rs11570094;rs67472071	8
ENSG00000134569	LRP4	11	46878419	46940193	-1	protein_coding	4038	LRP4	0.10020880429216	0.314361929	147	18.74	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000149179	C11orf49	11	46958240	47185936	1	protein_coding	79096	C11orf49	5.45467879227827e-07	0.564557873	231	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000149182	ARFGAP2	11	47185848	47198676	-1	protein_coding	84364	ARFGAP2	0.562990971385505	-0.150781591	232	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000165912	PACSIN3	11	47199076	47207994	-1	protein_coding	29763	PACSIN3	0.0167930476176259	-0.514938878	233	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000134574	DDB2	11	47236493	47260767	1	protein_coding	1643	DDB2	0.00511790717237921	0.677015289	245	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000134575	ACP2	11	47260853	47270457	-1	protein_coding	53	ACP2	0.00052597665714545	-0.370782179	248	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000025434	NR1H3	11	47269851	47290396	1	protein_coding	10062	NR1H3	0.856185983167695	0.657584133	253	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000110514	MADD	11	47290712	47351582	1	protein_coding	8567	MADD	0.000901823421065546	-0.375050357	270	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000134571	MYBPC3	11	47352957	47374253	-1	protein_coding	4607	MYBPC3	1.35053975034244e-06	-0.432352402	274	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000066336	SPI1	11	47376411	47400127	-1	protein_coding	6688	SPI1	0.89723051716191	NA	278	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000165915	SLC39A13	11	47428683	47438047	1	protein_coding	91252	SLC39A13	0.0118520311660311	-0.332418514	285	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000165916	PSMC3	11	47440320	47447993	-1	protein_coding	5702	PSMC3	0.979199713289554	-0.404697103	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000165917	RAPSN	11	47459308	47470730	-1	protein_coding	5913	RAPSN	0.0326445463388561	0.048781604	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000149187	CELF1	11	47487496	47587121	-1	protein_coding	10658	CELF1	0.998616884875254	-0.376215763	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000213619	NDUFS3	11	47586888	47606114	1	protein_coding	4722	NDUFS3	0.0471370341289045	-0.012344566	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000110536	PTPMT1	11	47586982	47595013	1	protein_coding	114971	PTPMT1	0.459152455272006	NA	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000123444	KBTBD4	11	47593749	47600567	-1	protein_coding	55709	KBTBD4	0.0180743639557145	-0.492620783	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000231880	KBTBD4	11	47599277	47599823	1	protein_coding	55709	KBTBD4	NA	-0.492620783	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000196666	FAM180B	11	47608198	47610746	1	protein_coding	399888	FAM180B	0.315838165150116	NA	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000172247	C1QTNF4	11	47611216	47616211	-1	protein_coding	114900	C1QTNF4	0.679081390678169	NA	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000109919	MTCH2	11	47638867	47664175	-1	protein_coding	23788	MTCH2	0.166788403447163	0.036933631	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000165923	AGBL2	11	47681143	47736941	-1	protein_coding	79841	AGBL2	6.81051045839789e-12	-0.765874431	286	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000109920	FNBP4	11	47738072	47788995	-1	protein_coding	23360	FNBP4	0.999993422916695	-0.713792045	285	25.4	9.702e-11	rs3824869;rs11039165;rs11570094;rs67472071;rs3740688	8
ENSG00000030066	NUP160	11	47799639	47870107	-1	protein_coding	23279	NUP160	0.023979152527532	-0.34569366	276	25.4	9.702e-11	rs11039165;rs3824869;rs11570094;rs67472071;rs3740688	8
ENSG00000149177	PTPRJ	11	48002113	48189670	1	protein_coding	5795	PTPRJ	2.38654353395849e-05	NA	103	25.4	4.246e-10	rs67472071;rs3824869	8
ENSG00000175619	OR4B1	11	48238344	48239314	1	protein_coding	119765	OR4B1	0.0109380186584993	0.304380954	45	16.64	7.887e-09	rs67472071	8
ENSG00000172208	OR4X2	11	48266608	48267622	1	protein_coding	119764	OR4X2	1.10988723254503e-08	0.281681038	39	16.64	7.887e-09	rs67472071	8
ENSG00000176567	OR4X1	11	48285413	48286330	1	protein_coding	390113	OR4X1	0.00015767458987061	0.540389506	34	16.64	7.887e-09	rs67472071	8
ENSG00000176555	OR4S1	11	48327775	48328704	1	protein_coding	256148	OR4S1	0.00461719061361746	0.795797779	22	16.64	7.887e-09	rs67472071	8
ENSG00000176547	OR4C3	11	48346472	48347507	1	protein_coding	256144	OR4C3	0.00874513097467769	0.097057746	19	16.64	7.887e-09	rs67472071	8
ENSG00000176540	OR4C5	11	48387037	48388017	-1	protein_coding	79346	OR4C5	0.0165676629621224	NA	10	16.64	7.887e-09	rs67472071	8
ENSG00000110048	OSBP	11	59341871	59383617	-1	protein_coding	5007	OSBP	0.999542555149074	-0.875119663	76	14.79	5.765e-14	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D	9
ENSG00000166889	PATL1	11	59404189	59436453	-1	protein_coding	219988	PATL1	0.991973625774226	-0.367218338	135	14.79	4.758e-15	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D	9
ENSG00000172289	OR10V1	11	59480296	59481337	-1	protein_coding	390201	OR10V1	0.00168146463399745	0.710356964	199	15.68	2.112e-15	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554	9
ENSG00000166900	STX3	11	59480929	59573354	1	protein_coding	6809	STX3	0.630609378340344	-0.542347349	301	15.68	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166902	MRPL16	11	59573608	59578345	-1	protein_coding	54948	MRPL16	0.00310865625311475	0.640569877	306	15.68	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000134812	GIF	11	59596741	59612974	-1	protein_coding	2694	GIF	0.434202069663625	-0.301438606	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000134827	TCN1	11	59620273	59634048	-1	protein_coding	6947	TCN1	3.85562988627718e-16	-0.301971772	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000214788	OOSP1	11	59705928	59712807	1	protein_coding	255649	OOSP1	NA	NA	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000149507	OOSP2	11	59807748	59815517	1	protein_coding	219990	OOSP2	0.0217138962545513	0.049937041	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000149516	MS4A3	11	59824060	59838601	1	protein_coding	932	MS4A3	4.21112895152531e-05	-0.575706125	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000149534	MS4A2	11	59855734	59863444	1	protein_coding	2206	MS4A2	6.49875397938143e-05	0.294740671	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000110077	MS4A6A	11	59939081	59952139	-1	protein_coding	64231	MS4A6A	1.49231954313632e-09	0.437292717	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000214787	MS4A4E	11	59968726	60010561	-1	protein_coding	643680	MS4A4E	0.515839923885565	NA	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000110079	MS4A4A	11	60048014	60076445	1	protein_coding	51338	MS4A4A	0.000743081971054817	-0.238270308	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166926	MS4A6E	11	60102304	60164069	1	protein_coding	245802	MS4A6E	0.72055108088883	0.373918296	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166927	MS4A7	11	60145955	60163424	1	protein_coding	58475	MS4A7	9.27325316417502e-06	0.410095069	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166928	MS4A14	11	60146003	60185161	1	protein_coding	84689	MS4A14	2.18827547869555e-16	0.06121265	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166930	MS4A5	11	60197062	60222687	1	protein_coding	64232	MS4A5	0.00920453847809139	0.260053824	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000156738	MS4A1	11	60223225	60238233	1	protein_coding	931	MS4A1	0.0153881692917396	0.269177371	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000071203	MS4A12	11	60260251	60274903	1	protein_coding	54860	MS4A12	4.95569370765756e-05	0.550315505	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000204979	MS4A13	11	60282886	60310194	1	protein_coding	503497	MS4A13	0.0538658364526184	0.232759479	453	15.87	1.186e-16	chr11:59854269:D;rs657928;chr11:59932024:I;rs1582763;chr11:60096240:D;rs1834554;rs2044982;rs72924659	9
ENSG00000166959	MS4A8	11	60467047	60483284	1	protein_coding	83661	MS4A8	0.00260921171410416	0.141742295	280	15.87	1.186e-16	rs1582763;chr11:59932024:I;rs657928;rs1834554;chr11:60096240:D;rs2044982;rs72924659	9
ENSG00000214782	MS4A18	11	60496789	60511685	1	protein_coding	728588	MS4A18	NA	NA	235	15.87	1.186e-16	rs1582763;chr11:59932024:I;rs657928;rs1834554;chr11:60096240:D;rs2044982;rs72924659	9
ENSG00000166961	MS4A15	11	60524426	60544205	1	protein_coding	219995	MS4A15	0.0384681974305748	-0.122458032	188	15.87	3.183e-16	rs1582763;chr11:59932024:I;rs657928;chr11:60096240:D;rs2044982;rs72924659	9
ENSG00000172689	MS4A10	11	60552821	60568778	1	protein_coding	341116	MS4A10	1.79435429349408e-08	3.123668877	158	15.87	7.488e-15	rs2044982;rs1582763;rs72924659;chr11:60096240:D	9
