GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000120949	1	12123434	12204264	239	47	455258	0.47689	0.31672	TNFRSF8
ENSG00000028137	1	12227060	12269285	159	21	455258	0.17068	0.43224	TNFRSF1B
ENSG00000048707	1	12290124	12572099	655	28	455258	0.4576	0.32362	VPS13D
ENSG00000162496	1	12627939	12677737	194	38	455258	1.9148	0.027756	DHRS3
ENSG00000204518	1	12704566	12727097	57	6	455258	-1.1984	0.88461	AADACL4
ENSG00000188984	1	12776118	12788726	55	9	455258	-1.0989	0.8641	AADACL3
ENSG00000157330	1	12806163	12823847	74	14	455258	-0.18991	0.57531	C1orf158
ENSG00000116726	1	12834984	12838049	12	4	455258	-0.083957	0.53345	PRAMEF12
ENSG00000116721	1	12851546	12856777	21	5	455258	-1.0666	0.85693	PRAMEF1
ENSG00000204513	1	12884468	12891264	21	5	455258	-1.2949	0.90232	PRAMEF11
ENSG00000179172	1	12907261	12908578	2	1	455258	-0.062743	0.52501	HNRNPCL1
ENSG00000120952	1	12916941	12921764	55	8	455258	-1.1262	0.86997	PRAMEF2
ENSG00000243073	1	12939045	12946025	16	4	455258	-0.42242	0.66364	PRAMEF4
ENSG00000187545	1	12952727	12958101	2	1	455258	0.62979	0.26442	PRAMEF10
ENSG00000232423	1	12998181	13117751	5	1	455258	-1.0984	0.86399	PRAMEF6
ENSG00000204479	1	13716092	13719089	1	1	455258	0.43054	0.3334	PRAMEF17
ENSG00000204478	1	13736907	13747803	2	1	455258	-0.25976	0.60247	PRAMEF20
ENSG00000162494	1	13801445	13840543	187	40	455258	0.031204	0.48755	LRRC38
ENSG00000162493	1	13909960	13944452	145	35	455258	-1.1603	0.87704	PDPN
ENSG00000116731	1	14026693	14151574	438	37	455258	-0.64829	0.7416	PRDM2
ENSG00000189337	1	14925200	15444539	2213	225	455258	-1.4087	0.92054	KAZN
ENSG00000171729	1	15479028	15546976	422	32	455258	0.79953	0.21199	TMEM51
ENSG00000204464	1	15490840	15497813	33	9	455258	0.27649	0.39108	C1orf195
ENSG00000142621	1	15573768	15726779	562	59	455258	0.95305	0.17028	FHAD1
ENSG00000142634	1	15736391	15756839	74	23	455258	1.596	0.055246	EFHD2
ENSG00000162438	1	15764935	15775737	34	11	455258	-0.88975	0.8132	CTRC
ENSG00000142615	1	15783223	15798586	70	12	455258	1.3877	0.082612	CELA2A
ENSG00000215704	1	15792404	15817895	98	16	455258	0.71738	0.23657	CELA2B
ENSG00000132906	1	15817327	15853029	160	11	455258	-0.61872	0.73195	CASP9
ENSG00000116138	1	15853308	15918874	252	13	455258	-0.52927	0.70169	DNAJC16
ENSG00000116771	1	15898848	15911605	66	7	455258	-0.35391	0.6383	AGMAT
ENSG00000197312	1	15943995	15995539	134	8	455258	0.8786	0.18981	DDI2
ENSG00000215695	1	15986364	15988217	3	2	455258	1.288	0.098877	RSC1A1
ENSG00000116786	1	16010827	16061264	180	17	455258	0.57382	0.28304	PLEKHM2
ENSG00000162461	1	16062900	16067891	10	5	455258	0.76399	0.22244	SLC25A34
ENSG00000162460	1	16068917	16074477	20	5	455258	0.13977	0.44442	TMEM82
ENSG00000162458	1	16083102	16113089	106	21	455258	-0.15832	0.5629	FBLIM1
ENSG00000065526	1	16174359	16266955	217	29	455258	-0.88543	0.81204	SPEN
ENSG00000116809	1	16268364	16302627	83	21	455258	-1.0641	0.85635	ZBTB17
ENSG00000183888	1	16330731	16335302	23	9	455258	-1.7353	0.95866	C1orf64
ENSG00000173641	1	16340523	16346089	50	6	455258	-0.70118	0.75841	HSPB7
ENSG00000186510	1	16345370	16360545	98	15	455258	-0.97478	0.83517	CLCNKA
ENSG00000184908	1	16370272	16383803	134	16	455258	-0.35169	0.63746	CLCNKB
ENSG00000185519	1	16384264	16400127	100	16	455258	-0.84292	0.80036	FAM131C
ENSG00000142627	1	16450832	16482582	65	16	455258	-1.3286	0.90801	EPHA2
ENSG00000142632	1	16524349	16539104	67	7	455258	-0.96734	0.83331	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	455258	-1.5045	0.93377	C1orf134
ENSG00000132881	1	16558195	16563657	15	6	455258	-0.5392	0.70512	RSG1
ENSG00000037637	1	16573334	16678949	258	12	455258	0.77374	0.21954	FBXO42
ENSG00000055070	1	16679070	16724640	129	16	455258	0.23062	0.4088	SZRD1
ENSG00000187144	1	16713612	16763919	164	28	455258	-0.42579	0.66487	SPATA21
ENSG00000157191	1	16767167	16786573	49	13	455258	0.87334	0.19124	NECAP2
ENSG00000219481	1	16888814	16940057	9	3	455258	1.5028	0.06644	NBPF1
ENSG00000058453	1	17066768	17299474	337	30	455258	0.59399	0.27626	CROCC
ENSG00000117122	1	17300997	17307330	22	6	455258	0.96365	0.16761	MFAP2
ENSG00000159363	1	17312453	17338423	63	14	455258	0.79343	0.21376	ATP13A2
ENSG00000117118	1	17345217	17380665	131	14	455258	1.6863	0.045866	SDHB
ENSG00000117115	1	17393256	17445948	294	19	455258	0.83206	0.20269	PADI2
ENSG00000142623	1	17531621	17572500	178	50	455258	-0.21477	0.58503	PADI1
ENSG00000142619	1	17575593	17610728	193	31	455258	1.3747	0.084612	PADI3
ENSG00000159339	1	17634690	17690499	332	28	455258	0.80991	0.209	PADI4
ENSG00000269468	1	17655507	17676070	159	14	455258	0.73348	0.23163	AC004824.2
ENSG00000179051	1	17733256	17766220	91	15	455258	1.1169	0.13201	RCC2
ENSG00000074964	1	17866330	18024369	495	57	455258	0.80637	0.21002	ARHGEF10L
ENSG00000117148	1	18081808	18153558	258	26	455258	0.56604	0.28568	ACTL8
ENSG00000117154	1	18434240	18704977	1158	147	455258	0.87654	0.19037	IGSF21
ENSG00000179023	1	18807424	18812478	29	7	455258	-0.53778	0.70464	KLHDC7A
ENSG00000009709	1	18957500	19075360	429	76	455258	1.3292	0.091884	PAX7
ENSG00000179002	1	19166093	19186176	133	25	455258	-0.72965	0.7672	TAS1R2
ENSG00000255275	1	19175767	19247615	376	48	455258	1.2756	0.10104	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	152	23	455258	1.3162	0.094056	ALDH4A1
ENSG00000169991	1	19230775	19283180	210	43	455258	-1.2695	0.89786	IFFO2
ENSG00000127481	1	19401000	19536770	373	27	455258	0.54885	0.29155	UBR4
ENSG00000127463	1	19542158	19578046	135	19	455258	-0.0035616	0.50142	EMC1
ENSG00000053372	1	19578033	19586622	58	9	455258	0.74613	0.2278	MRTO4
ENSG00000162482	1	19609052	19615744	29	5	455258	0.040966	0.48366	AKR7A3
ENSG00000053371	1	19630459	19638640	27	11	455258	-0.81988	0.79386	AKR7A2
ENSG00000040487	1	19638820	19655794	105	17	455258	1.1303	0.12917	PQLC2
ENSG00000077549	1	19665267	19812066	705	35	455258	2.3555	0.0092494	CAPZB
ENSG00000270136	1	19923473	19984549	260	31	455258	0.30911	0.37862	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	134	17	455258	0.44328	0.32878	MINOS1
ENSG00000158747	1	19967048	19984945	74	23	455258	0.2924	0.38499	NBL1
ENSG00000158748	1	19991780	20006055	47	10	455258	-0.44527	0.67194	HTR6
ENSG00000162542	1	20008706	20126438	440	59	455258	0.60897	0.27127	TMCO4
ENSG00000178828	1	20140523	20141771	7	4	455258	1.3134	0.094528	RNF186
ENSG00000169914	1	20209006	20239438	95	18	455258	0.41448	0.33926	OTUD3
ENSG00000188784	1	20246502	20250110	22	8	455258	0.55909	0.28805	PLA2G2E
ENSG00000188257	1	20301925	20306932	17	8	455258	0.40192	0.34387	PLA2G2A
ENSG00000127472	1	20354672	20417683	253	25	455258	-0.78656	0.78423	PLA2G5
ENSG00000117215	1	20438432	20446050	25	10	455258	-0.29995	0.61789	PLA2G2D
ENSG00000158786	1	20465819	20476879	26	13	455258	0.98224	0.16299	PLA2G2F
ENSG00000187980	1	20487746	20503917	63	15	455258	3.2805	0.00051805	PLA2G2C
ENSG00000162543	1	20512578	20522541	12	4	455258	0.64074	0.26085	UBXN10
ENSG00000158816	1	20617412	20681387	293	31	455258	-1.5387	0.93806	VWA5B1
ENSG00000162545	1	20808884	20812713	5	3	455258	0.39963	0.34471	CAMK2N1
ENSG00000090432	1	20825943	20834654	34	12	455258	1.1243	0.13045	MUL1
ENSG00000183114	1	20878932	20881512	7	3	455258	-1.4897	0.93184	FAM43B
ENSG00000158825	1	20915441	20945401	144	24	455258	0.63027	0.26426	CDA
ENSG00000158828	1	20959948	20978004	92	13	455258	-0.56346	0.71344	PINK1
ENSG00000244038	1	20978270	20988000	39	9	455258	0.31371	0.37687	DDOST
ENSG00000117245	1	20990507	21044510	241	51	455258	0.25996	0.39745	KIF17
ENSG00000189410	1	21046225	21059330	44	12	455258	0.90584	0.18251	SH2D5
ENSG00000127483	1	21069154	21113816	117	17	455258	2.1929	0.014158	HP1BP3
ENSG00000075151	1	21132963	21503377	890	31	455258	3.1434	0.00083497	EIF4G3
ENSG00000117298	1	21543740	21671997	462	56	455258	1.3451	0.089293	ECE1
ENSG00000142794	1	21766621	21811498	181	18	455258	1.0095	0.15636	NBPF3
ENSG00000162551	1	21835858	21904905	371	38	455258	0.96286	0.16781	ALPL
ENSG00000076864	1	21922708	21995801	309	47	455258	-0.62115	0.73275	RAP1GAP
ENSG00000090686	1	22004791	22110099	413	39	455258	-0.26401	0.60411	USP48
ENSG00000187942	1	22138758	22151714	50	21	455258	-0.70841	0.76065	LDLRAD2
ENSG00000142798	1	22148738	22263790	441	47	455258	-0.79063	0.78542	HSPG2
ENSG00000219073	1	22303514	22325135	224	25	455258	-0.64121	0.73931	CELA3B
ENSG00000142789	1	22328149	22339032	77	14	455258	-0.32487	0.62736	CELA3A
ENSG00000070831	1	22379120	22419437	146	24	455258	-0.040156	0.51602	CDC42
ENSG00000162552	1	22443798	22470462	114	24	455258	-1.0468	0.8524	WNT4
ENSG00000184677	1	22778344	22857650	182	25	455258	-1.2261	0.88992	ZBTB40
ENSG00000070886	1	22890057	22930087	184	31	455258	-1.5598	0.9406	EPHA8
ENSG00000173372	1	22962999	22966101	8	4	455258	-0.055699	0.52221	C1QA
ENSG00000159189	1	22970123	22974603	27	6	455258	-0.58052	0.71922	C1QC
ENSG00000173369	1	22979255	22988031	32	8	455258	-0.92924	0.82362	C1QB
ENSG00000133216	1	23037332	23241818	591	77	455258	0.036615	0.4854	EPHB2
ENSG00000215906	1	23279536	23291831	41	11	455258	-0.96897	0.83372	LACTBL1
ENSG00000227868	1	23337327	23342343	11	4	455258	-0.46902	0.68047	C1orf234
ENSG00000004487	1	23345941	23410182	98	15	455258	-0.35473	0.6386	KDM1A
ENSG00000169641	1	23410516	23504301	202	25	455258	-0.93925	0.8262	LUZP1
ENSG00000179546	1	23516993	23521222	14	4	455258	0.31891	0.3749	HTR1D
ENSG00000125944	1	23630264	23670829	92	19	455258	1.1601	0.12301	HNRNPR
ENSG00000125945	1	23685941	23695935	32	7	455258	0.50666	0.3062	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	455258	0.084405	0.46637	C1orf213
ENSG00000204219	1	23707554	23751233	147	26	455258	0.22795	0.40984	TCEA3
ENSG00000088280	1	23755056	23811061	157	22	455258	-0.057876	0.52308	ASAP3
ENSG00000007968	1	23832922	23857712	57	11	455258	-0.93089	0.82404	E2F2
ENSG00000117318	1	23884409	23886285	9	4	455258	-0.81043	0.79115	ID3
ENSG00000197880	1	23907985	23967058	139	34	455258	-0.21769	0.58616	MDS2
ENSG00000142676	1	24018269	24022915	15	5	455258	-0.87686	0.80972	RPL11
ENSG00000011007	1	24069645	24088549	34	12	455258	0.41871	0.33772	TCEB3
ENSG00000057757	1	24104895	24114722	13	7	455258	1.2301	0.10933	PITHD1
ENSG00000011009	1	24117460	24122029	6	3	455258	-0.28722	0.61303	LYPLA2
ENSG00000117308	1	24122089	24127271	2	1	455258	2.8402	0.0022543	GALE
ENSG00000117305	1	24128375	24165110	54	5	455258	1.5802	0.057027	HMGCL
ENSG00000179163	1	24171567	24194784	47	7	455258	0.68322	0.24724	FUCA1
ENSG00000188822	1	24197016	24285549	262	15	455258	0.48573	0.31358	CNR2
ENSG00000189266	1	24285599	24289952	4	2	455258	0.77162	0.22017	PNRC2
ENSG00000188529	1	24291294	24307417	5	2	455258	0.51358	0.30377	SRSF10
ENSG00000142661	1	24382525	24438665	237	33	455258	2.9176	0.0017639	MYOM3
ENSG00000142677	1	24446261	24469611	92	23	455258	-0.41302	0.6602	IL22RA1
ENSG00000185436	1	24480647	24514449	153	24	455258	-0.0094721	0.50378	IFNLR1
ENSG00000158055	1	24645812	24690972	127	29	455258	-0.48236	0.68522	GRHL3
ENSG00000001460	1	24683489	24743424	211	26	455258	-0.26532	0.60462	STPG1
ENSG00000001461	1	24742284	24799466	216	26	455258	0.4733	0.318	NIPAL3
ENSG00000117602	1	24829387	24867530	151	23	455258	0.70935	0.23905	RCAN3
ENSG00000184454	1	24882602	24935819	273	30	455258	-0.93479	0.82505	NCMAP
ENSG00000133226	1	24958207	24999758	55	12	455258	-0.11439	0.54553	SRRM1
ENSG00000169504	1	25071848	25170815	145	19	455258	-0.78069	0.78251	CLIC4
ENSG00000020633	1	25226002	25291612	167	36	455258	0.19445	0.42291	RUNX3
ENSG00000117614	1	25549170	25558993	10	6	455258	0.76153	0.22317	SYF2
ENSG00000117616	1	25568728	25664704	140	33	455258	-2.0075	0.97765	C1orf63
ENSG00000187010	1	25598884	25656936	93	24	455258	-2.536	0.99439	RHD
ENSG00000183726	1	25664408	25688852	32	8	455258	-0.52989	0.7019	TMEM50A
ENSG00000188672	1	25688740	25756683	103	11	455258	-1.1225	0.86918	RHCE
ENSG00000204178	1	25757388	25826700	108	4	455258	-1.2983	0.90292	TMEM57
ENSG00000157978	1	25870071	25895377	76	11	455258	1.3724	0.084965	LDLRAP1
ENSG00000117643	1	25943959	26112698	428	40	455258	-0.63261	0.73651	MAN1C1
ENSG00000162430	1	26126667	26144713	49	6	455258	-0.71378	0.76232	SEPN1
ENSG00000255054	1	26137961	26150235	42	6	455258	-1.1348	0.87176	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	44	5	455258	-0.87111	0.80815	MTFR1L
