# ALPHA = 0.05
# NUMBER_OF_TESTS = 10673

# _SET1_  VARIABLE = Curated_gene_sets:roversi_glioma_copy_number_up (set)
# _SET1_  NGENES = 98
# _SET1_  P-VALUE = 2.34472e-10
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000104859    19   45542298   45574214     65      12  455258       6.3893    8.334e-11
_SET1_   ENSG00000170684    19   45574758   45579846      5       3  455258       3.2788   0.00052123
_SET1_   ENSG00000142252    19   45582453   45594782     76       5  455258       4.8242   7.0276e-07
_SET1_   ENSG00000007047    19   45582546   45808541    863      65  455258       6.9514   3.6865e-29
_SET1_   ENSG00000130201    19   45715879   45737469    120       9  455258       6.4087   7.3392e-11
_SET1_   ENSG00000104879    19   45809672   45826235     76      19  455258       3.5213   0.00021474
_SET1_   ENSG00000104892    19   45836692   45854778     64      13  455258       3.8953   4.9033e-05
_SET1_   ENSG00000104884    19   45853095   45874176     73      14  455258       3.8358   6.2583e-05
_SET1_   ENSG00000104881    19   45882892   45909607     61      17  455258       2.1561     0.015538
_SET1_   ENSG00000117877    19   45909467   45914024     22       6  455258      0.94902      0.17131
_SET1_   ENSG00000012061    19   45910591   45982086    261      33  455258       2.9756     0.001462
_SET1_   ENSG00000125740    19   45971253   45978437     25       7  455258        1.739     0.041018
_SET1_   ENSG00000171574    19   58912871   58929694     87       9  455258     -0.69858      0.75759
_SET1_   ENSG00000131849    19   58944181   58951589     20       6  455258      -1.0918      0.86255
_SET1_   ENSG00000083812    19   58978423   58984945      8       4  455258     -0.14913      0.55927
_SET1_   ENSG00000083807    19   58990879   59023780     86      14  455258      0.20518      0.41872
_SET1_   ENSG00000119574    19   59024897   59050278     38      13  455258       0.9239      0.17777
_SET1_   ENSG00000130726    19   59055458   59062089     10       4  455258      0.16775      0.43339
_SET1_   ENSG00000130725    19   59067079   59070327      6       3  455258      0.29629      0.38351
_SET1_   ENSG00000099326    19   59073298   59084942     29       8  455258      0.57082      0.28406

# _SET2_  VARIABLE = GO_bp:go_protein_lipid_complex_assembly (set)
# _SET2_  NGENES = 20
# _SET2_  P-VALUE = 9.3899e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000158874     1  161192082  161193421      4       2  455258      0.61407      0.26958
_SET2_   ENSG00000057252     1  179262925  179327815    327      25  455258      0.19644      0.42213
_SET2_   ENSG00000143761     1  228270361  228286912     41      14  455258     0.083849      0.46659
_SET2_   ENSG00000084674     2   21224301   21266945    109      37  455258       0.6593      0.25485
_SET2_   ENSG00000136717     2  127805603  127864931    287      29  455258       6.0118   9.1726e-10
_SET2_   ENSG00000123983     2  223725652  223809357    355      28  455258     0.082256      0.46722
_SET2_   ENSG00000138823     4  100484918  100545156    302      25  455258     0.074884      0.47015
_SET2_   ENSG00000254245     5  140723601  140892546    609      41  455258      -0.2369      0.59363
_SET2_   ENSG00000130340     6  158244296  158366109    462      24  455258     -0.46374      0.67858
_SET2_   ENSG00000185000     8  145539954  145550573     17       4  455258       2.1831     0.014515
_SET2_   ENSG00000165029     9  107543283  107690518    747      97  455258       2.1655     0.015175
_SET2_   ENSG00000110243    11  116660083  116663136     11       4  455258      0.84791      0.19824
_SET2_   ENSG00000110244    11  116691419  116694022     18       9  455258       1.2838     0.099609
_SET2_   ENSG00000110245    11  116700422  116703788     24       8  455258       2.3342    0.0097929
_SET2_   ENSG00000118137    11  116706467  116708666      9       3  455258       1.2757      0.10103
_SET2_   ENSG00000167780    12   53497302   53518322    104      10  455258       1.4596     0.072204
_SET2_   ENSG00000064687    19    1040102    1065571    124      22  455258       5.9872   1.0676e-09
_SET2_   ENSG00000130203    19   45409011   45412650      6       3  455258       6.9514   3.6629e-81
_SET2_   ENSG00000130208    19   45417504   45422606     11       5  455258       6.9514  1.0061e-101
_SET2_   ENSG00000126003    20   30780306   30795594     22       9  455258      0.82452      0.20482

# _SET3_  VARIABLE = GO_bp:go_regulation_of_amyloid_precursor_protein_catabolic_process (set)
# _SET3_  NGENES = 11
# _SET3_  P-VALUE = 1.8297e-06
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000186088     7   76940068   77045717    373      29  455258      -0.5111      0.69536
_SET3_   ENSG00000120885     8   27454434   27472548     45       9  455258       6.9514   3.4027e-13
_SET3_   ENSG00000198739    10   68685764   68859588    666      55  455258     -0.20083      0.57958
_SET3_   ENSG00000073921    11   85668727   85780924    489      36  455258       6.6162   1.8426e-11
_SET3_   ENSG00000137642    11  121322912  121504402    443      67  455258       4.3537   6.6923e-06
_SET3_   ENSG00000170348    14   75598173   75643334    107      12  455258      0.32917      0.37101
_SET3_   ENSG00000132589    17   27206353   27224697     33       9  455258     -0.66368      0.74655
_SET3_   ENSG00000173805    17   39873994   39890896     94      11  455258      -1.0313       0.8488
_SET3_   ENSG00000064687    19    1040102    1065571    124      22  455258       5.9872   1.0676e-09
_SET3_   ENSG00000130203    19   45409011   45412650      6       3  455258       6.9514   3.6629e-81
_SET3_   ENSG00000088832    20    1349622    1373806     69      16  455258      0.96832      0.16644

# _SET4_  VARIABLE = GO_bp:go_protein_lipid_complex_subunit_organization (set)
# _SET4_  NGENES = 35
# _SET4_  P-VALUE = 3.0511e-06
_SET4_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET4_   ENSG00000188257     1   20301925   20306932     17       8  455258      0.40192      0.34387
_SET4_   ENSG00000158874     1  161192082  161193421      4       2  455258      0.61407      0.26958
_SET4_   ENSG00000057252     1  179262925  179327815    327      25  455258      0.19644      0.42213
_SET4_   ENSG00000143761     1  228270361  228286912     41      14  455258     0.083849      0.46659
_SET4_   ENSG00000135744     1  230838269  230850043     74      19  455258       1.2032      0.11445
_SET4_   ENSG00000084674     2   21224301   21266945    109      37  455258       0.6593      0.25485
_SET4_   ENSG00000136717     2  127805603  127864931    287      29  455258       6.0118   9.1726e-10
_SET4_   ENSG00000123983     2  223725652  223809357    355      28  455258     0.082256      0.46722
_SET4_   ENSG00000144891     3  148415571  148460795    141      22  455258     -0.29666      0.61664
_SET4_   ENSG00000138823     4  100484918  100545156    302      25  455258     0.074884      0.47015
_SET4_   ENSG00000254245     5  140723601  140892546    609      41  455258      -0.2369      0.59363
_SET4_   ENSG00000146070     6   46671938   46703430     68      17  455258      0.61485      0.26933
_SET4_   ENSG00000130340     6  158244296  158366109    462      24  455258     -0.46374      0.67858
_SET4_   ENSG00000175445     8   19759228   19824769    322      27  455258      -1.1807      0.88115
_SET4_   ENSG00000185000     8  145539954  145550573     17       4  455258       2.1831     0.014515
_SET4_   ENSG00000165029     9  107543283  107690518    747      97  455258       2.1655     0.015175
_SET4_   ENSG00000110243    11  116660083  116663136     11       4  455258      0.84791      0.19824
_SET4_   ENSG00000110244    11  116691419  116694022     18       9  455258       1.2838     0.099609
_SET4_   ENSG00000110245    11  116700422  116703788     24       8  455258       2.3342    0.0097929
_SET4_   ENSG00000118137    11  116706467  116708666      9       3  455258       1.2757      0.10103
_SET4_   ENSG00000167780    12   53497302   53518322    104      10  455258       1.4596     0.072204
_SET4_   ENSG00000073060    12  125261402  125367214    439      77  455258       3.1436   0.00083439
_SET4_   ENSG00000166035    15   58702768   58861151    699     101  455258       0.6908      0.24485
_SET4_   ENSG00000087237    16   56995762   57017757    126      29  455258     -0.92044      0.82133
_SET4_   ENSG00000213398    16   67973653   67978034      7       4  455258      -0.9867       0.8381
_SET4_   ENSG00000005381    17   56347217   56358296     19      10  455258        2.179     0.014667
_SET4_   ENSG00000154265    17   67240452   67323385    204      22  455258      0.99224      0.16054
_SET4_   ENSG00000101670    18   47087069   47119272    117      29  455258       1.3614     0.086702
_SET4_   ENSG00000064687    19    1040102    1065571    124      22  455258       5.9872   1.0676e-09
_SET4_   ENSG00000130203    19   45409011   45412650      6       3  455258       6.9514   3.6629e-81
_SET4_   ENSG00000130208    19   45417504   45422606     11       5  455258       6.9514  1.0061e-101
_SET4_   ENSG00000234906    19   45449243   45452822     16       3  455258        6.566   2.5844e-11
_SET4_   ENSG00000126003    20   30780306   30795594     22       9  455258      0.82452      0.20482
_SET4_   ENSG00000100979    20   44527399   44540794     46      20  455258      0.31017      0.37822
_SET4_   ENSG00000160179    21   43619799   43717354    454      69  455258    0.0097648       0.4961
